#Dichroic 0,,
#λ,Reflectivity,Emissivity
#μm,,
0.4,1.0,0.0
0.405,1.0,0.0
0.41,1.0,0.0
0.415,1.0,0.0
0.42,1.0,0.0
0.425,1.0,0.0
0.43,1.0,0.0
0.435,1.0,0.0
0.44,1.0,0.0
0.445,1.0,0.0
0.45,1.0,0.0
0.455,1.0,0.0
0.46,1.0,0.0
0.465,1.0,0.0
0.47,1.0,0.0
0.475,1.0,0.0
0.48,1.0,0.0
0.485,1.0,0.0
0.49,1.0,0.0
0.495,1.0,0.0
0.5,1.0,0.0
0.505,1.0,0.0
0.51,1.0,0.0
0.515,1.0,0.0
0.52,1.0,0.0
0.525,1.0,0.0
0.53,1.0,0.0
0.535,1.0,0.0
0.54,1.0,0.0
0.545,1.0,0.0
0.55,1.0,0.0
0.555,1.0,0.0
0.56,1.0,0.0
0.58,1.0,0.0
0.6,1.0,0.0
0.65,1.0,0.0
0.7,1.0,0.0
0.75,1.0,0.0
0.8,1.0,0.0
0.85,1.0,0.0
0.9,1.0,0.0
0.95,1.0,0.0
1,1.0,0.0
1.05,1.0,0.0
1.1,1.0,0.0
1.15,1.0,0.0
1.2,1.0,0.0
1.25,1.0,0.0
1.3,1.0,0.0
1.4,1.0,0.0
1.5,1.0,0.0
1.6,1.0,0.0
1.7,1.0,0.0
1.8,1.0,0.0
1.9,1.0,0.0
2,1.0,0.0
2.1,1.0,0.0
2.2,1.0,0.0
2.3,1.0,0.0
2.4,1.0,0.0
2.5,1.0,0.0
2.51256,1.0,0.0
2.52525,1.0,0.0
2.53807,1.0,0.0
2.55102,1.0,0.0
2.5641,1.0,0.0
2.57732,1.0,0.0
2.59067,1.0,0.0
2.60417,1.0,0.0
2.6178,1.0,0.0
2.63158,1.0,0.0
2.6455,1.0,0.0
2.65957,1.0,0.0
2.6738,1.0,0.0
2.68817,1.0,0.0
2.7027,1.0,0.0
2.71739,1.0,0.0
2.73224,1.0,0.0
2.74725,1.0,0.0
2.76243,1.0,0.0
2.77778,1.0,0.0
2.7933,1.0,0.0
2.80899,1.0,0.0
2.82486,1.0,0.0
2.84091,1.0,0.0
2.85714,1.0,0.0
2.87356,1.0,0.0
2.89017,1.0,0.0
2.90698,1.0,0.0
2.92398,1.0,0.0
2.94118,1.0,0.0
2.95858,1.0,0.0
2.97619,1.0,0.0
2.99401,1.0,0.0
3.01205,1.0,0.0
3.0303,1.0,0.0
3.04878,1.0,0.0
3.06748,1.0,0.0
3.08642,1.0,0.0
3.10559,1.0,0.0
3.125,1.0,0.0
3.14465,1.0,0.0
3.16456,1.0,0.0
3.18471,1.0,0.0
3.20513,1.0,0.0
3.22581,1.0,0.0
3.24675,1.0,0.0
3.26797,1.0,0.0
3.28947,1.0,0.0
3.31126,1.0,0.0
3.33333,1.0,0.0
3.3557,1.0,0.0
3.37838,1.0,0.0
3.40136,1.0,0.0
3.42466,1.0,0.0
3.44828,1.0,0.0
3.47222,1.0,0.0
3.4965,1.0,0.0
3.52113,1.0,0.0
3.5461,1.0,0.0
3.57143,1.0,0.0
3.59712,1.0,0.0
3.62319,1.0,0.0
3.64964,1.0,0.0
3.67647,1.0,0.0
3.7037,1.0,0.0
3.73134,1.0,0.0
3.7594,1.0,0.0
3.78788,1.0,0.0
3.81679,1.0,0.0
3.84615,1.0,0.0
3.87597,1.0,0.0
3.90625,1.0,0.0
3.93701,1.0,0.0
3.96825,1.0,0.0
4,1.0,0.0
4.03226,1.0,0.0
4.06504,1.0,0.0
4.09836,1.0,0.0
4.13223,1.0,0.0
4.16667,1.0,0.0
4.20168,1.0,0.0
4.23729,1.0,0.0
4.2735,1.0,0.0
4.31034,1.0,0.0
4.34783,1.0,0.0
4.38596,1.0,0.0
4.42478,1.0,0.0
4.46429,1.0,0.0
4.5045,1.0,0.0
4.54545,1.0,0.0
4.58716,1.0,0.0
4.62963,1.0,0.0
4.6729,1.0,0.0
4.71698,1.0,0.0
4.7619,1.0,0.0
4.80769,1.0,0.0
4.85437,1.0,0.0
4.90196,1.0,0.0
4.9505,1.0,0.0
5,1.0,0.0
5.02513,1.0,0.0
5.05051,1.0,0.0
5.07614,1.0,0.0
5.10204,1.0,0.0
5.12821,1.0,0.0
5.15464,1.0,0.0
5.18135,1.0,0.0
5.20833,1.0,0.0
5.2356,1.0,0.0
5.26316,1.0,0.0
5.29101,1.0,0.0
5.31915,1.0,0.0
5.34759,1.0,0.0
5.37634,1.0,0.0
5.40541,1.0,0.0
5.43478,1.0,0.0
5.46448,1.0,0.0
5.49451,1.0,0.0
5.52486,1.0,0.0
5.55556,1.0,0.0
5.58659,1.0,0.0
5.61798,1.0,0.0
5.64972,1.0,0.0
5.68182,1.0,0.0
5.71429,1.0,0.0
5.74713,1.0,0.0
5.78035,1.0,0.0
5.81395,1.0,0.0
5.84795,1.0,0.0
5.88235,1.0,0.0
5.91716,1.0,0.0
5.95238,1.0,0.0
5.98802,1.0,0.0
6.0241,1.0,0.0
6.06061,1.0,0.0
6.09756,1.0,0.0
6.13497,1.0,0.0
6.17284,1.0,0.0
6.21118,1.0,0.0
6.25,1.0,0.0
6.28931,1.0,0.0
6.32911,1.0,0.0
6.36943,1.0,0.0
6.41026,1.0,0.0
6.45161,1.0,0.0
6.49351,1.0,0.0
6.53595,1.0,0.0
6.57895,1.0,0.0
6.62252,1.0,0.0
6.66667,1.0,0.0
6.71141,1.0,0.0
6.75676,1.0,0.0
6.80272,1.0,0.0
6.84932,1.0,0.0
6.89655,1.0,0.0
6.94444,1.0,0.0
6.99301,1.0,0.0
7.04225,1.0,0.0
7.0922,1.0,0.0
7.14286,1.0,0.0
7.19424,1.0,0.0
7.24638,1.0,0.0
7.29927,1.0,0.0
7.35294,1.0,0.0
7.40741,1.0,0.0
7.46269,1.0,0.0
7.5188,1.0,0.0
7.57576,1.0,0.0
7.63359,1.0,0.0
7.69231,1.0,0.0
7.75194,1.0,0.0
7.8125,1.0,0.0
7.87402,1.0,0.0
7.93651,1.0,0.0
8,1.0,0.0
8.06452,1.0,0.0
8.13008,1.0,0.0
8.19672,1.0,0.0
8.26446,1.0,0.0
8.33333,1.0,0.0
8.40336,1.0,0.0
8.47458,1.0,0.0
8.54701,1.0,0.0
8.62069,1.0,0.0
8.69565,1.0,0.0
8.77193,1.0,0.0
8.84956,1.0,0.0
8.92857,1.0,0.0
9.00901,1.0,0.0
9.09091,1.0,0.0
9.17431,1.0,0.0
9.25926,1.0,0.0
9.34579,1.0,0.0
9.43396,1.0,0.0
9.52381,1.0,0.0
9.61538,1.0,0.0
9.70874,1.0,0.0
9.80392,1.0,0.0
9.90099,1.0,0.0
10,1.0,0.0
10.10101,1.0,0.0
10.20408,1.0,0.0
10.30928,1.0,0.0
10.41667,1.0,0.0
10.52632,1.0,0.0
10.6383,1.0,0.0
10.75269,1.0,0.0
10.86957,1.0,0.0
