# wavelength (microns), transmission, emissivity
0.6000,0.4197,0.0000
0.6100,0.4693,0.0000
0.6200,0.5126,0.0000
0.6300,0.5508,0.0000
0.6400,0.5841,0.0000
0.6500,0.6163,0.0000
0.6600,0.6451,0.0000
0.6700,0.6664,0.0000
0.6800,0.6876,0.0000
0.6900,0.7034,0.0000
0.7000,0.7158,0.0000
0.7100,0.7279,0.0000
0.7200,0.7382,0.0000
0.7300,0.7481,0.0000
0.7400,0.7574,0.0000
0.7500,0.7659,0.0000
0.7700,0.7740,0.0000
0.7800,0.7815,0.0000
0.7900,0.7883,0.0000
0.8000,0.7950,0.0000
0.8100,0.8004,0.0000
0.8200,0.8048,0.0000
0.8300,0.8096,0.0000
0.8400,0.8137,0.0000
0.8500,0.8175,0.0000
0.8600,0.8210,0.0000
0.8700,0.8238,0.0000
0.8800,0.8262,0.0000
0.8900,0.8296,0.0000
0.9000,0.8318,0.0000
0.9100,0.8341,0.0000
0.9200,0.8366,0.0000
0.9300,0.8395,0.0000
0.9400,0.8418,0.0000
0.9500,0.8441,0.0000
0.9600,0.8454,0.0000
0.9700,0.8473,0.0000
0.9800,0.8494,0.0000
0.9900,0.8509,0.0000
1.0000,0.8520,0.0000
1.0100,0.8529,0.0000
1.0200,0.8537,0.0000
1.0300,0.8547,0.0000
1.0400,0.8551,0.0000
1.0500,0.8553,0.0000
1.0600,0.8557,0.0000
1.0700,0.8563,0.0000
1.0800,0.8576,0.0000
1.0900,0.8592,0.0000
1.1000,0.8602,0.0000
1.1100,0.8613,0.0000
1.1200,0.8621,0.0000
1.1300,0.8629,0.0000
1.1400,0.8635,0.0000
1.1500,0.8634,0.0000
1.1600,0.8630,0.0000
1.1700,0.8627,0.0000
1.1800,0.8623,0.0000
1.1900,0.8625,0.0000
1.2000,0.8631,0.0000
1.2100,0.8629,0.0000
1.2200,0.8628,0.0000
1.2300,0.8631,0.0000
1.2400,0.8638,0.0000
1.2500,0.8643,0.0000
1.2600,0.8644,0.0000
1.2700,0.8638,0.0000
1.2800,0.8637,0.0000
1.2900,0.8639,0.0000
1.3000,0.8644,0.0000
1.3100,0.8646,0.0000
1.3200,0.8645,0.0000
1.3300,0.8641,0.0000
1.3400,0.8639,0.0000
1.3500,0.8641,0.0000
1.3600,0.8641,0.0000
1.3700,0.8634,0.0000
1.3800,0.8632,0.0000
1.3900,0.8638,0.0000
1.4000,0.8643,0.0000
1.4100,0.8641,0.0000
1.4200,0.8640,0.0000
1.4300,0.8643,0.0000
1.4400,0.8646,0.0000
1.4500,0.8645,0.0000
1.4600,0.8643,0.0000
1.4700,0.8640,0.0000
1.4800,0.8643,0.0000
1.4900,0.8643,0.0000
1.5000,0.8640,0.0000
1.5100,0.8647,0.0000
1.5200,0.8652,0.0000
1.5300,0.8653,0.0000
1.5400,0.8658,0.0000
1.5500,0.8663,0.0000
1.5600,0.8670,0.0000
1.5700,0.8673,0.0000
1.5800,0.8670,0.0000
1.5900,0.8670,0.0000
1.6000,0.8672,0.0000
1.6100,0.8671,0.0000
1.6200,0.8671,0.0000
1.6300,0.8673,0.0000
1.6400,0.8673,0.0000
1.6500,0.8671,0.0000
1.6600,0.8669,0.0000
1.6700,0.8673,0.0000
1.6800,0.8680,0.0000
1.6900,0.8684,0.0000
1.7000,0.8680,0.0000
1.7100,0.8680,0.0000
1.7200,0.8685,0.0000
1.7300,0.8693,0.0000
