# wavelength (microns), beta, x (microns), y (microns)
4.3067,0.0000,21.1962,0.0000
4.4146,0.0000,47.2240,0.0000
4.5538,0.0000,77.1592,0.0000
4.6748,0.0000,104.9551,0.0000
4.7779,0.0000,129.8166,0.0000
4.8629,0.0000,153.7986,0.0000
4.9504,0.0000,179.1840,0.0000
5.0365,0.0000,204.4628,0.0000
5.1150,0.0000,228.4206,0.0000
5.1858,0.0000,250.7098,0.0000
5.2486,0.0000,273.0726,0.0000
5.3155,0.0000,298.1620,0.0000
5.3892,0.0000,323.2960,0.0000
5.4512,0.0000,347.0252,0.0000
5.5134,0.0000,371.5964,0.0000
5.5760,0.0000,395.8958,0.0000
5.6333,0.0000,419.8497,0.0000
5.6911,0.0000,445.5484,0.0000
5.7537,0.0000,472.0135,0.0000
5.8118,0.0000,497.4501,0.0000
5.8669,0.0000,521.7980,0.0000
5.9178,0.0000,545.3431,0.0000
5.9674,0.0000,569.2284,0.0000
6.0178,0.0000,593.8510,0.0000
6.0685,0.0000,619.9847,0.0000
6.1231,0.0000,647.6031,0.0000
6.1776,0.0000,673.3934,0.0000
6.2231,0.0000,697.2122,0.0000
6.2686,0.0000,721.2987,0.0000
6.3138,0.0000,745.6196,0.0000
6.3589,0.0000,770.2766,0.0000
6.4040,0.0000,795.2994,0.0000
6.4491,0.0000,820.1513,0.0000
6.4924,0.0000,844.3384,0.0000
6.5342,0.0000,868.5651,0.0000
6.5766,0.0000,895.3612,0.0000
6.6262,0.0000,924.4866,0.0000
6.6753,0.0000,951.6465,0.0000
6.7170,0.0000,976.8625,0.0000
6.7587,0.0000,1001.5807,0.0000
6.7980,0.0000,1025.2777,0.0000
6.8356,0.0000,1048.9048,0.0000
6.8739,0.0000,1074.0319,0.0000
6.9156,0.0000,1100.4885,0.0000
6.9573,0.0000,1127.1024,0.0000
6.9987,0.0000,1153.8321,0.0000
7.0400,0.0000,1180.4409,0.0000
7.0804,0.0000,1206.0726,0.0000
7.1180,0.0000,1231.0221,0.0000
7.1556,0.0000,1256.4170,0.0000
7.1940,0.0000,1282.3177,0.0000
7.2325,0.0000,1308.1380,0.0000
7.2700,0.0000,1332.2798,0.0000
7.3031,0.0000,1355.0387,0.0000
7.3361,0.0000,1378.1891,0.0000
