# wavelength (microns), transmission, emissivity
1.7270,0.0000,0.0000
1.8440,0.0020,0.0000
1.9640,0.0080,0.0000
2.1140,0.0190,0.0000
2.1780,0.0140,0.0000
2.2960,0.0060,0.0000
2.4580,0.0020,0.0000
2.6600,0.0010,0.0000
2.7370,0.0140,0.0000
2.7780,0.0320,0.0000
2.8600,0.0450,0.0000
2.9390,0.0350,0.0000
3.0460,0.0210,0.0000
3.1120,0.0190,0.0000
3.2230,0.0270,0.0000
3.3330,0.0470,0.0000
3.5350,0.0760,0.0000
3.6710,0.1560,0.0000
3.7120,0.2160,0.0000
3.7660,0.2830,0.0000
3.7930,0.3330,0.0000
3.8770,0.3630,0.0000
3.9700,0.3260,0.0000
4.0110,0.2830,0.0000
4.0650,0.2190,0.0000
4.1450,0.1590,0.0000
4.1990,0.1500,0.0000
4.2810,0.1280,0.0000
4.3880,0.1220,0.0000
4.4830,0.1310,0.0000
4.5620,0.1520,0.0000
4.6980,0.1970,0.0000
4.7820,0.2540,0.0000
4.8360,0.3080,0.0000
4.8900,0.3770,0.0000
4.9740,0.4450,0.0000
5.0550,0.5700,0.0000
5.1640,0.6690,0.0000
5.2050,0.7420,0.0000
5.2440,0.8080,0.0000
5.2980,0.8560,0.0000
5.3800,0.8940,0.0000
5.4200,0.9230,0.0000
5.4610,0.9340,0.0000
5.5520,0.9470,0.0000
5.6610,0.9540,0.0000
5.8090,0.9520,0.0000
6.0240,0.9600,0.0000
6.3430,0.9600,0.0000
6.5140,0.9630,0.0000
6.8360,0.9650,0.0000
7.2250,0.9680,0.0000
7.6790,0.9680,0.0000
8.0710,0.9630,0.0000
8.4090,0.9610,0.0000
8.8950,0.9600,0.0000
9.2890,0.9600,0.0000
9.6130,0.9560,0.0000
9.8390,0.9430,0.0000
10.0190,0.9270,0.0000
10.1820,0.8930,0.0000
10.4130,0.8410,0.0000
10.5350,0.8060,0.0000
10.6150,0.7700,0.0000
10.7900,0.7140,0.0000
10.9940,0.6550,0.0000
11.1260,0.6190,0.0000
11.3020,0.5890,0.0000
11.5330,0.5450,0.0000
11.6810,0.5110,0.0000
11.8710,0.4620,0.0000
12.1410,0.3860,0.0000
12.3590,0.3380,0.0000
12.4650,0.3040,0.0000
12.9470,0.1960,0.0000
13.2270,0.1540,0.0000
13.4700,0.1260,0.0000
13.8790,0.0740,0.0000
14.2150,0.0430,0.0000
14.3760,0.0200,0.0000
14.6030,0.0000,0.0000
14.9280,0.0000,0.0000
16.9040,0.0000,0.0000
