# wavelength (microns), transmission, emissivity
4.0000,0.2075,0.000
4.0037,0.2048,0.000
4.0073,0.2021,0.000
4.0110,0.1994,0.000
4.0147,0.1963,0.000
4.0183,0.1932,0.000
4.0220,0.1902,0.000
4.0257,0.1871,0.000
4.0293,0.1841,0.000
4.0330,0.1810,0.000
4.0367,0.1779,0.000
4.0403,0.1749,0.000
4.0440,0.1718,0.000
4.0477,0.1687,0.000
4.0514,0.1657,0.000
4.0550,0.1626,0.000
4.0587,0.1596,0.000
4.0624,0.1565,0.000
4.0660,0.1537,0.000
4.0697,0.1518,0.000
4.0734,0.1499,0.000
4.0770,0.1479,0.000
4.0807,0.1460,0.000
4.0844,0.1441,0.000
4.0880,0.1421,0.000
4.0917,0.1402,0.000
4.0954,0.1382,0.000
4.0990,0.1363,0.000
4.1027,0.1344,0.000
4.1064,0.1324,0.000
4.1100,0.1305,0.000
4.1137,0.1285,0.000
4.1174,0.1266,0.000
4.1210,0.1247,0.000
4.1247,0.1227,0.000
4.1284,0.1208,0.000
4.1320,0.1189,0.000
4.1357,0.1169,0.000
4.1394,0.1150,0.000
4.1430,0.1130,0.000
4.1467,0.1118,0.000
4.1504,0.1114,0.000
4.1541,0.1110,0.000
4.1577,0.1105,0.000
4.1614,0.1101,0.000
4.1651,0.1097,0.000
4.1687,0.1092,0.000
4.1724,0.1088,0.000
4.1761,0.1084,0.000
4.1797,0.1079,0.000
4.1834,0.1075,0.000
4.1871,0.1071,0.000
4.1907,0.1066,0.000
4.1944,0.1062,0.000
4.1981,0.1058,0.000
4.2017,0.1052,0.000
4.2054,0.1045,0.000
4.2091,0.1038,0.000
4.2127,0.1031,0.000
4.2164,0.1024,0.000
4.2201,0.1017,0.000
4.2237,0.1010,0.000
4.2274,0.1003,0.000
4.2311,0.0996,0.000
4.2347,0.0989,0.000
4.2384,0.0982,0.000
4.2421,0.0975,0.000
4.2457,0.0968,0.000
4.2494,0.0961,0.000
4.2531,0.0955,0.000
4.2568,0.0948,0.000
4.2604,0.0941,0.000
4.2641,0.0934,0.000
4.2678,0.0927,0.000
4.2714,0.0920,0.000
4.2751,0.0913,0.000
4.2788,0.0906,0.000
4.2824,0.0901,0.000
4.2861,0.0900,0.000
4.2898,0.0898,0.000
4.2934,0.0897,0.000
4.2971,0.0895,0.000
4.3008,0.0894,0.000
4.3044,0.0892,0.000
4.3081,0.0891,0.000
4.3118,0.0890,0.000
4.3154,0.0888,0.000
4.3191,0.0887,0.000
4.3228,0.0885,0.000
4.3264,0.0884,0.000
4.3301,0.0882,0.000
4.3338,0.0881,0.000
4.3374,0.0879,0.000
4.3411,0.0878,0.000
4.3448,0.0877,0.000
4.3484,0.0875,0.000
4.3521,0.0874,0.000
4.3558,0.0872,0.000
4.3595,0.0871,0.000
4.3631,0.0869,0.000
4.3668,0.0868,0.000
4.3705,0.0866,0.000
4.3741,0.0865,0.000
4.3778,0.0864,0.000
4.3815,0.0862,0.000
4.3851,0.0861,0.000
4.3888,0.0860,0.000
4.3925,0.0862,0.000
4.3961,0.0865,0.000
4.3998,0.0867,0.000
4.4035,0.0870,0.000
4.4071,0.0872,0.000
4.4108,0.0875,0.000
4.4145,0.0877,0.000
4.4181,0.0880,0.000
4.4218,0.0882,0.000
4.4255,0.0884,0.000
4.4291,0.0887,0.000
4.4328,0.0889,0.000
4.4365,0.0892,0.000
4.4401,0.0894,0.000
4.4438,0.0897,0.000
4.4475,0.0899,0.000
4.4512,0.0902,0.000
4.4548,0.0904,0.000
4.4585,0.0907,0.000
4.4622,0.0909,0.000
4.4658,0.0911,0.000
4.4695,0.0914,0.000
4.4732,0.0916,0.000
4.4768,0.0919,0.000
4.4805,0.0921,0.000
4.4842,0.0925,0.000
4.4878,0.0932,0.000
4.4915,0.0939,0.000
4.4952,0.0946,0.000
4.4988,0.0953,0.000
4.5025,0.0959,0.000
4.5062,0.0966,0.000
4.5098,0.0973,0.000
4.5135,0.0980,0.000
4.5172,0.0987,0.000
4.5208,0.0994,0.000
4.5245,0.1001,0.000
4.5282,0.1007,0.000
4.5318,0.1014,0.000
4.5355,0.1021,0.000
4.5392,0.1028,0.000
4.5428,0.1035,0.000
4.5465,0.1042,0.000
4.5502,0.1049,0.000
4.5539,0.1056,0.000
4.5575,0.1062,0.000
4.5612,0.1069,0.000
4.5649,0.1077,0.000
4.5685,0.1086,0.000
4.5722,0.1095,0.000
4.5759,0.1103,0.000
4.5795,0.1112,0.000
4.5832,0.1120,0.000
4.5869,0.1129,0.000
4.5905,0.1137,0.000
4.5942,0.1146,0.000
4.5979,0.1154,0.000
4.6015,0.1163,0.000
4.6052,0.1172,0.000
4.6089,0.1180,0.000
4.6125,0.1189,0.000
4.6162,0.1197,0.000
4.6199,0.1206,0.000
4.6235,0.1214,0.000
4.6272,0.1223,0.000
4.6309,0.1231,0.000
4.6345,0.1240,0.000
4.6382,0.1248,0.000
4.6419,0.1257,0.000
4.6455,0.1266,0.000
4.6492,0.1274,0.000
4.6529,0.1283,0.000
4.6566,0.1291,0.000
4.6602,0.1300,0.000
4.6639,0.1308,0.000
4.6676,0.1317,0.000
4.6712,0.1325,0.000
4.6749,0.1334,0.000
4.6786,0.1343,0.000
4.6822,0.1351,0.000
4.6859,0.1360,0.000
4.6896,0.1368,0.000
4.6932,0.1377,0.000
4.6969,0.1385,0.000
4.7006,0.1400,0.000
4.7042,0.1418,0.000
4.7079,0.1435,0.000
4.7116,0.1453,0.000
4.7152,0.1470,0.000
4.7189,0.1488,0.000
4.7226,0.1505,0.000
4.7262,0.1523,0.000
4.7299,0.1540,0.000
4.7336,0.1558,0.000
4.7372,0.1575,0.000
4.7409,0.1593,0.000
4.7446,0.1611,0.000
4.7482,0.1628,0.000
4.7519,0.1646,0.000
4.7556,0.1663,0.000
4.7593,0.1681,0.000
4.7629,0.1698,0.000
4.7666,0.1716,0.000
4.7703,0.1733,0.000
4.7739,0.1751,0.000
4.7776,0.1768,0.000
4.7813,0.1786,0.000
4.7849,0.1810,0.000
4.7886,0.1836,0.000
4.7923,0.1862,0.000
4.7959,0.1888,0.000
4.7996,0.1913,0.000
4.8033,0.1939,0.000
4.8069,0.1965,0.000
4.8106,0.1991,0.000
4.8143,0.2017,0.000
4.8179,0.2043,0.000
4.8216,0.2068,0.000
4.8253,0.2094,0.000
4.8289,0.2120,0.000
4.8326,0.2146,0.000
4.8363,0.2172,0.000
4.8399,0.2205,0.000
4.8436,0.2238,0.000
4.8473,0.2271,0.000
4.8510,0.2304,0.000
4.8546,0.2337,0.000
4.8583,0.2370,0.000
4.8620,0.2403,0.000
4.8656,0.2436,0.000
4.8693,0.2469,0.000
4.8730,0.2502,0.000
4.8766,0.2536,0.000
4.8803,0.2569,0.000
4.8840,0.2602,0.000
4.8876,0.2635,0.000
4.8913,0.2663,0.000
4.8950,0.2684,0.000
4.8986,0.2705,0.000
4.9023,0.2726,0.000
4.9060,0.2747,0.000
4.9096,0.2768,0.000
4.9133,0.2789,0.000
4.9170,0.2810,0.000
4.9206,0.2831,0.000
4.9243,0.2852,0.000
4.9280,0.2872,0.000
4.9316,0.2893,0.000
4.9353,0.2914,0.000
4.9390,0.2935,0.000
4.9426,0.2956,0.000
4.9463,0.2977,0.000
4.9500,0.2998,0.000
4.9537,0.3019,0.000
4.9573,0.3040,0.000
4.9610,0.3061,0.000
4.9647,0.3082,0.000
4.9683,0.3103,0.000
4.9720,0.3123,0.000
4.9757,0.3153,0.000
4.9793,0.3193,0.000
4.9830,0.3233,0.000
4.9867,0.3273,0.000
4.9903,0.3312,0.000
4.9940,0.3352,0.000
4.9977,0.3392,0.000
5.0013,0.3432,0.000
5.0050,0.3472,0.000
