# wavelength (microns), QE
4.0000,0.2887
4.0200,0.2906
4.0400,0.2926
4.0600,0.2945
4.0800,0.2964
4.1000,0.2984
4.1200,0.3003
4.1400,0.3022
4.1600,0.3042
4.1800,0.3061
4.2000,0.3081
4.2200,0.3100
4.2400,0.3120
4.2600,0.3140
4.2800,0.3160
4.3000,0.3179
4.3200,0.3199
4.3400,0.3219
4.3600,0.3239
4.3800,0.3259
4.4000,0.3279
4.4200,0.3299
4.4400,0.3319
4.4600,0.3339
4.4800,0.3359
4.5000,0.3379
4.5200,0.3392
4.5400,0.3406
4.5600,0.3419
4.5800,0.3432
4.6000,0.3446
4.6200,0.3459
4.6400,0.3472
4.6600,0.3486
4.6800,0.3499
4.7000,0.3513
4.7200,0.3526
4.7400,0.3540
4.7600,0.3554
4.7800,0.3567
4.8000,0.3580
4.8200,0.3593
4.8400,0.3606
4.8600,0.3618
4.8800,0.3631
4.9000,0.3644
4.9200,0.3656
4.9400,0.3669
4.9600,0.3682
4.9800,0.3694
5.0000,0.3707
5.0200,0.3723
5.0400,0.3739
5.0600,0.3754
5.0800,0.3770
5.1000,0.3787
5.1200,0.3803
5.1400,0.3819
5.1600,0.3836
5.1800,0.3852
5.2000,0.3869
5.2200,0.3886
5.2400,0.3902
5.2600,0.3919
5.2800,0.3935
5.3000,0.3952
5.3200,0.3969
5.3400,0.3985
5.3600,0.4002
5.3800,0.4019
5.4000,0.4035
5.4200,0.4051
5.4400,0.4068
5.4600,0.4084
5.4800,0.4100
5.5000,0.4209
5.5200,0.4228
5.5400,0.4248
5.5600,0.4267
5.5800,0.4287
5.6000,0.4306
5.6200,0.4326
5.6400,0.4345
5.6600,0.4365
5.6800,0.4386
5.7000,0.4406
5.7200,0.4426
5.7400,0.4447
5.7600,0.4468
5.7800,0.4488
5.8000,0.4509
5.8200,0.4529
5.8400,0.4550
5.8600,0.4571
5.8800,0.4591
5.9000,0.4612
5.9200,0.4633
5.9400,0.4654
5.9600,0.4674
5.9800,0.4694
6.0000,0.4714
6.0200,0.4731
6.0400,0.4749
6.0600,0.4767
6.0800,0.4784
6.1000,0.4802
6.1200,0.4819
6.1400,0.4837
6.1600,0.4855
6.1800,0.4872
6.2000,0.4890
6.2200,0.4908
6.2400,0.4925
6.2600,0.4943
6.2800,0.4961
6.3000,0.4979
6.3200,0.4996
6.3400,0.5014
6.3600,0.5032
6.3800,0.5050
6.4000,0.5068
6.4200,0.5085
6.4400,0.5103
6.4600,0.5121
6.4800,0.5139
6.5000,0.5157
6.5200,0.5155
6.5400,0.5153
6.5600,0.5151
6.5800,0.5150
6.6000,0.5148
6.6200,0.5147
6.6400,0.5145
