# wavelength (microns), QE
4.0000,0.2561
4.0200,0.2566
4.0400,0.2571
4.0600,0.2576
4.0800,0.2581
4.1000,0.2586
4.1200,0.2591
4.1400,0.2597
4.1600,0.2602
4.1800,0.2607
4.2000,0.2612
4.2200,0.2617
4.2400,0.2622
4.2600,0.2628
4.2800,0.2633
4.3000,0.2638
4.3200,0.2644
4.3400,0.2649
4.3600,0.2654
4.3800,0.2659
4.4000,0.2665
4.4200,0.2670
4.4400,0.2675
4.4600,0.2681
4.4800,0.2686
4.5000,0.2692
4.5200,0.2717
4.5400,0.2743
4.5600,0.2768
4.5800,0.2794
4.6000,0.2819
4.6200,0.2845
4.6400,0.2870
4.6600,0.2896
4.6800,0.2922
4.7000,0.2948
4.7200,0.2973
4.7400,0.2999
4.7600,0.3025
4.7800,0.3051
4.8000,0.3077
4.8200,0.3102
4.8400,0.3127
4.8600,0.3152
4.8800,0.3177
4.9000,0.3203
4.9200,0.3228
4.9400,0.3253
4.9600,0.3278
4.9800,0.3304
5.0000,0.3329
5.0200,0.3359
5.0400,0.3389
5.0600,0.3419
5.0800,0.3449
5.1000,0.3480
5.1200,0.3511
5.1400,0.3541
5.1600,0.3572
5.1800,0.3603
5.2000,0.3634
5.2200,0.3665
5.2400,0.3696
5.2600,0.3727
5.2800,0.3758
5.3000,0.3789
5.3200,0.3821
5.3400,0.3852
5.3600,0.3883
5.3800,0.3914
5.4000,0.3945
5.4200,0.3976
5.4400,0.4007
5.4600,0.4038
5.4800,0.4069
5.5000,0.4184
5.5200,0.4200
5.5400,0.4216
5.5600,0.4232
5.5800,0.4248
5.6000,0.4264
5.6200,0.4281
5.6400,0.4297
5.6600,0.4313
5.6800,0.4330
5.7000,0.4347
5.7200,0.4364
5.7400,0.4381
5.7600,0.4398
5.7800,0.4416
5.8000,0.4433
5.8200,0.4450
5.8400,0.4467
5.8600,0.4485
5.8800,0.4502
5.9000,0.4519
5.9200,0.4536
5.9400,0.4554
5.9600,0.4571
5.9800,0.4587
6.0000,0.4603
6.0200,0.4604
6.0400,0.4604
6.0600,0.4605
6.0800,0.4605
6.1000,0.4606
6.1200,0.4606
6.1400,0.4607
6.1600,0.4607
6.1800,0.4608
6.2000,0.4608
6.2200,0.4609
6.2400,0.4609
6.2600,0.4610
6.2800,0.4610
6.3000,0.4610
6.3200,0.4611
6.3400,0.4611
6.3600,0.4612
6.3800,0.4612
6.4000,0.4612
6.4200,0.4613
6.4400,0.4613
6.4600,0.4614
6.4800,0.4614
6.5000,0.4615
6.5200,0.4598
6.5400,0.4581
6.5600,0.4564
6.5800,0.4548
6.6000,0.4532
6.6200,0.4515
6.6400,0.4499
6.6600,0.4482
6.6800,0.4466
6.7000,0.4449
6.7200,0.4433
6.7400,0.4416
6.7600,0.4400
6.7800,0.4383
6.8000,0.4367
6.8200,0.4350
6.8400,0.4334
6.8600,0.4316
6.8800,0.4299
6.9000,0.4282
6.9200,0.4265
6.9400,0.4248
6.9600,0.4230
6.9800,0.4213
7.0000,0.4196
7.0200,0.4189
7.0400,0.4182
7.0600,0.4175
7.0800,0.4169
7.1000,0.4162
7.1200,0.4155
7.1400,0.4148
7.1600,0.4142
7.1800,0.4135
7.2000,0.4128
7.2200,0.4122
7.2400,0.4115
7.2600,0.4108
7.2800,0.4102
7.3000,0.4095
7.3200,0.4088
7.3400,0.4082
7.3600,0.4075
7.3800,0.4068
7.4000,0.4062
7.4200,0.4055
7.4400,0.4048
7.4600,0.4041
7.4800,0.4033
7.5000,0.4026
7.5200,0.4036
7.5400,0.4046
7.5600,0.4056
7.5800,0.4066
7.6000,0.4076
7.6200,0.4086
7.6400,0.4096
7.6600,0.4105
7.6800,0.4115
7.7000,0.4125
7.7200,0.4135
7.7400,0.4145
7.7600,0.4155
7.7800,0.4165
7.8000,0.4175
7.8200,0.4185
7.8400,0.4195
7.8600,0.4205
7.8800,0.4215
7.9000,0.4225
7.9200,0.4235
7.9400,0.4245
7.9600,0.4255
7.9800,0.4265
8.0000,0.4275
8.0200,0.4281
8.0400,0.4287
8.0600,0.4294
8.0800,0.4300
8.1000,0.4306
8.1200,0.4313
8.1400,0.4319
8.1600,0.4326
8.1800,0.4332
8.2000,0.4338
8.2200,0.4345
8.2400,0.4351
8.2600,0.4358
8.2800,0.4364
8.3000,0.4371
8.3200,0.4377
8.3400,0.4383
8.3600,0.4388
8.3800,0.4394
8.4000,0.4400
8.4200,0.4406
