# wavelength (microns), transmission, emissivity
1.3846,0.0000,0.0000
1.3862,0.0000,0.0000
1.3878,0.0000,0.0000
1.3894,0.0000,0.0000
1.3910,0.0000,0.0000
1.3926,0.0000,0.0000
1.3942,0.0000,0.0000
1.3958,0.0000,0.0000
1.3974,0.0000,0.0000
1.3990,0.0000,0.0000
1.4006,0.0000,0.0000
1.4023,0.0000,0.0000
1.4039,0.0000,0.0000
1.4055,0.0000,0.0000
1.4071,0.0000,0.0000
1.4087,0.0000,0.0000
1.4103,0.0000,0.0000
1.4119,0.0000,0.0000
1.4135,0.0000,0.0000
1.4151,0.0000,0.0000
1.4167,0.0000,0.0000
1.4183,0.0000,0.0000
1.4199,0.0000,0.0000
1.4216,0.0000,0.0000
1.4232,0.0000,0.0000
1.4248,0.0000,0.0000
1.4264,0.0000,0.0000
1.4280,0.0000,0.0000
1.4296,0.0000,0.0000
1.4312,0.0000,0.0000
1.4328,0.0000,0.0000
1.4344,0.0000,0.0000
1.4360,0.0000,0.0000
1.4376,0.0000,0.0000
1.4392,0.0000,0.0000
1.4409,0.0000,0.0000
1.4425,0.0000,0.0000
1.4441,0.0000,0.0000
1.4457,0.0000,0.0000
1.4473,0.0000,0.0000
1.4489,0.0000,0.0000
1.4505,0.0000,0.0000
1.4521,0.0000,0.0000
1.4537,0.0000,0.0000
1.4553,0.0000,0.0000
1.4569,0.0000,0.0000
1.4585,0.0000,0.0000
1.4601,0.0000,0.0000
1.4618,0.0000,0.0000
1.4634,0.0000,0.0000
1.4650,0.0000,0.0000
1.4666,0.0000,0.0000
1.4682,0.0000,0.0000
1.4698,0.0000,0.0000
1.4714,0.0000,0.0000
1.4730,0.0000,0.0000
1.4746,0.0000,0.0000
1.4762,0.0000,0.0000
1.4778,0.0000,0.0000
1.4794,0.0000,0.0000
1.4811,0.0000,0.0000
1.4827,0.0000,0.0000
1.4843,0.0000,0.0000
1.4859,0.0000,0.0000
1.4875,0.0000,0.0000
1.4891,0.0000,0.0000
1.4907,0.0000,0.0000
1.4923,0.0000,0.0000
1.4939,0.0000,0.0000
1.4955,0.0000,0.0000
1.4971,0.0000,0.0000
1.4987,0.0000,0.0000
1.5003,0.0000,0.0000
1.5020,0.0000,0.0000
1.5036,0.0000,0.0000
1.5052,0.0000,0.0000
1.5068,0.0000,0.0000
1.5084,0.0000,0.0000
1.5100,0.0000,0.0000
1.5116,0.0000,0.0000
1.5132,0.0000,0.0000
1.5148,0.0000,0.0000
1.5164,0.0000,0.0000
1.5180,0.0000,0.0000
1.5196,0.0000,0.0000
1.5213,0.0000,0.0000
1.5229,0.0000,0.0000
1.5245,0.0000,0.0000
1.5261,0.0000,0.0000
1.5277,0.0000,0.0000
1.5293,0.0000,0.0000
1.5309,0.0000,0.0000
1.5325,0.0000,0.0000
1.5341,0.0000,0.0000
1.5357,0.0000,0.0000
1.5373,0.0000,0.0000
1.5389,0.0000,0.0000
1.5406,0.0000,0.0000
1.5422,0.0000,0.0000
1.5438,0.0000,0.0000
1.5454,0.0000,0.0000
