# wavelength (microns), transmission, emissivity
2.0000,0.0000,0.0000
2.0010,0.0000,0.0000
2.0020,0.0000,0.0000
2.0030,0.0000,0.0000
2.0040,0.0000,0.0000
2.0050,0.0000,0.0000
2.0060,0.0000,0.0000
2.0070,0.0000,0.0000
2.0080,0.0000,0.0000
2.0090,0.0000,0.0000
2.0100,0.0000,0.0000
2.0110,0.0000,0.0000
2.0120,0.0000,0.0000
2.0130,0.0000,0.0000
2.0140,0.0000,0.0000
2.0150,0.0000,0.0000
2.0160,0.0000,0.0000
2.0170,0.0000,0.0000
2.0180,0.0000,0.0000
2.0190,0.0000,0.0000
2.0200,0.0000,0.0000
2.0210,0.0000,0.0000
2.0220,0.0000,0.0000
2.0230,0.0000,0.0000
2.0240,0.0000,0.0000
2.0250,0.0000,0.0000
2.0260,0.0000,0.0000
2.0270,0.0000,0.0000
2.0280,0.0000,0.0000
2.0290,0.0000,0.0000
2.0300,0.0000,0.0000
2.0310,0.0000,0.0000
2.0320,0.0000,0.0000
2.0330,0.0000,0.0000
2.0340,0.0000,0.0000
2.0350,0.0000,0.0000
2.0360,0.0000,0.0000
2.0370,0.0000,0.0000
2.0380,0.0000,0.0000
2.0390,0.0000,0.0000
2.0400,0.0000,0.0000
2.0410,0.0000,0.0000
2.0420,0.0000,0.0000
2.0430,0.0000,0.0000
2.0440,0.0000,0.0000
2.0450,0.0000,0.0000
2.0460,0.0000,0.0000
2.0470,0.0000,0.0000
2.0480,0.0000,0.0000
2.0490,0.0000,0.0000
2.0500,0.0000,0.0000
2.0510,0.0000,0.0000
2.0520,0.0000,0.0000
2.0530,0.0000,0.0000
2.0540,0.0000,0.0000
2.0550,0.0000,0.0000
2.0560,0.0000,0.0000
2.0570,0.0000,0.0000
2.0580,0.0000,0.0000
2.0590,0.0000,0.0000
2.0600,0.0000,0.0000
2.0610,0.0000,0.0000
2.0620,0.0000,0.0000
2.0630,0.0000,0.0000
2.0640,0.0000,0.0000
2.0650,0.0000,0.0000
