# wavelength (microns), transmission, emissivity
2.4800,0.0000,0.0
2.4850,0.0000,0.0
2.4901,0.0000,0.0
2.4951,0.0004,0.0
2.5002,0.0005,0.0
2.5052,0.0002,0.0
2.5103,0.0001,0.0
2.5153,0.0001,0.0
2.5204,0.0001,0.0
2.5254,0.0001,0.0
2.5305,0.0001,0.0
2.5355,0.0001,0.0
2.5406,0.0000,0.0
2.5456,0.0000,0.0
2.5507,0.0000,0.0
2.5557,0.0000,0.0
2.5608,0.0000,0.0
2.5658,0.0000,0.0
2.5708,0.0000,0.0
2.5759,0.0000,0.0
2.5809,0.0000,0.0
2.5860,0.0000,0.0
2.5910,0.0000,0.0
2.5961,0.0000,0.0
2.6011,0.0000,0.0
2.6062,0.0000,0.0
2.6112,0.0000,0.0
2.6163,0.0000,0.0
2.6213,0.0000,0.0
2.6264,0.0000,0.0
2.6314,0.0000,0.0
2.6365,0.0000,0.0
2.6415,0.0000,0.0
2.6465,0.0000,0.0
2.6516,0.0000,0.0
2.6566,0.0000,0.0
2.6617,0.0000,0.0
2.6667,0.0000,0.0
2.6718,0.0000,0.0
2.6768,0.0000,0.0
2.6819,0.0000,0.0
2.6869,0.0000,0.0
2.6920,0.0000,0.0
2.6970,0.0000,0.0
2.7021,0.0000,0.0
2.7071,0.0000,0.0
2.7122,0.0000,0.0
2.7172,0.0000,0.0
2.7223,0.0000,0.0
2.7273,0.0000,0.0
2.7323,0.0000,0.0
2.7374,0.0000,0.0
2.7424,0.0000,0.0
2.7475,0.0000,0.0
2.7525,0.0000,0.0
2.7576,0.0000,0.0
2.7626,0.0000,0.0
2.7677,0.0000,0.0
2.7727,0.0000,0.0
2.7778,0.0000,0.0
2.7828,0.0000,0.0
2.7879,0.0000,0.0
2.7929,0.0000,0.0
2.7980,0.0000,0.0
2.8030,0.0000,0.0
2.8081,0.0000,0.0
2.8131,0.0000,0.0
2.8181,0.0000,0.0
2.8232,0.0000,0.0
2.8282,0.0000,0.0
2.8333,0.0000,0.0
2.8383,0.0000,0.0
2.8434,0.0000,0.0
2.8484,0.0000,0.0
2.8535,0.0000,0.0
2.8585,0.0000,0.0
2.8636,0.0000,0.0
2.8686,0.0000,0.0
2.8737,0.0000,0.0
2.8787,0.0000,0.0
2.8838,0.0000,0.0
2.8888,0.0000,0.0
2.8938,0.0000,0.0
2.8989,0.0000,0.0
2.9039,0.0000,0.0
2.9090,0.0000,0.0
2.9140,0.0000,0.0
2.9191,0.0000,0.0
2.9241,0.0000,0.0
2.9292,0.0000,0.0
2.9342,0.0000,0.0
2.9393,0.0000,0.0
2.9443,0.0000,0.0
2.9494,0.0000,0.0
2.9544,0.0000,0.0
2.9595,0.0000,0.0
2.9645,0.0000,0.0
2.9696,0.0000,0.0
2.9746,0.0000,0.0
2.9796,0.0000,0.0
2.9847,0.0000,0.0
2.9897,0.0000,0.0
2.9948,0.0000,0.0
2.9998,0.0000,0.0
3.0049,0.0000,0.0
3.0099,0.0000,0.0
3.0150,0.0000,0.0
3.0200,0.0000,0.0
3.0251,0.0000,0.0
3.0301,0.0000,0.0
3.0352,0.0000,0.0
3.0402,0.0000,0.0
3.0453,0.0000,0.0
3.0503,0.0000,0.0
3.0554,0.0000,0.0
3.0604,0.0000,0.0
3.0654,0.0000,0.0
3.0705,0.0000,0.0
3.0755,0.0000,0.0
3.0806,0.0000,0.0
3.0856,0.0000,0.0
3.0907,0.0000,0.0
3.0957,0.0000,0.0
3.1008,0.0000,0.0
3.1058,0.0000,0.0
3.1109,0.0000,0.0
3.1159,0.0000,0.0
3.1210,0.0000,0.0
3.1260,0.0000,0.0
3.1311,0.0000,0.0
3.1361,0.0000,0.0
3.1411,0.0000,0.0
3.1462,0.0000,0.0
3.1512,0.0000,0.0
3.1563,0.0000,0.0
3.1613,0.0000,0.0
3.1664,0.0000,0.0
3.1714,0.0000,0.0
3.1765,0.0000,0.0
3.1815,0.0000,0.0
3.1866,0.0000,0.0
3.1916,0.0000,0.0
3.1967,0.0000,0.0
3.2017,0.0000,0.0
3.2068,0.0000,0.0
3.2118,0.0000,0.0
3.2169,0.0000,0.0
3.2219,0.0000,0.0
3.2269,0.0000,0.0
3.2320,0.0000,0.0
3.2370,0.0000,0.0
3.2421,0.0000,0.0
3.2471,0.0000,0.0
3.2522,0.0000,0.0
3.2572,0.0000,0.0
3.2623,0.0000,0.0
3.2673,0.0000,0.0
3.2724,0.0000,0.0
3.2774,0.0000,0.0
3.2825,0.0000,0.0
3.2875,0.0000,0.0
3.2926,0.0000,0.0
3.2976,0.0000,0.0
3.3027,0.0000,0.0
3.3077,0.0000,0.0
3.3127,0.0000,0.0
3.3178,0.0000,0.0
3.3228,0.0000,0.0
3.3279,0.0000,0.0
3.3329,0.0000,0.0
3.3380,0.0000,0.0
3.3430,0.0000,0.0
3.3481,0.0000,0.0
3.3531,0.0000,0.0
3.3582,0.0000,0.0
3.3632,0.0000,0.0
3.3683,0.0000,0.0
3.3733,0.0000,0.0
3.3784,0.0000,0.0
3.3834,0.0000,0.0
3.3884,0.0000,0.0
3.3935,0.0000,0.0
3.3985,0.0000,0.0
3.4036,0.0000,0.0
3.4086,0.0000,0.0
3.4137,0.0000,0.0
3.4187,0.0000,0.0
3.4238,0.0000,0.0
3.4288,0.0000,0.0
3.4339,0.0000,0.0
3.4389,0.0000,0.0
3.4440,0.0000,0.0
3.4490,0.0000,0.0
3.4541,0.0000,0.0
3.4591,0.0000,0.0
3.4642,0.0000,0.0
3.4692,0.0000,0.0
3.4742,0.0000,0.0
3.4793,0.0000,0.0
3.4843,0.0000,0.0
3.4894,0.0000,0.0
3.4944,0.0000,0.0
3.4995,0.0000,0.0
3.5045,0.0000,0.0
3.5096,0.0000,0.0
3.5146,0.0000,0.0
3.5197,0.0000,0.0
3.5247,0.0000,0.0
3.5298,0.0000,0.0
3.5348,0.0000,0.0
3.5399,0.0000,0.0
3.5449,0.0000,0.0
3.5500,0.0000,0.0
3.5550,0.0000,0.0
3.5600,0.0000,0.0
3.5651,0.0000,0.0
3.5701,0.0000,0.0
3.5752,0.0000,0.0
3.5802,0.0000,0.0
3.5853,0.0000,0.0
3.5903,0.0000,0.0
