# wavelength (microns), QE
2.2500,0.7802
2.2510,0.7802
2.2520,0.7802
2.2530,0.7802
2.2540,0.7802
2.2550,0.7802
2.2560,0.7801
2.2570,0.7801
2.2580,0.7801
2.2590,0.7801
2.2600,0.7801
2.2610,0.7801
2.2620,0.7801
2.2630,0.7801
2.2640,0.7801
2.2650,0.7801
2.2660,0.7801
2.2670,0.7801
2.2680,0.7801
2.2690,0.7801
2.2700,0.7801
2.2710,0.7801
2.2720,0.7801
2.2730,0.7801
2.2740,0.7801
2.2750,0.7801
2.2760,0.7801
2.2770,0.7801
2.2780,0.7801
2.2790,0.7801
2.2800,0.7801
2.2810,0.7801
2.2820,0.7801
2.2830,0.7801
2.2840,0.7801
2.2850,0.7801
2.2860,0.7801
2.2870,0.7801
2.2880,0.7801
2.2890,0.7801
2.2900,0.7801
2.2910,0.7801
2.2920,0.7801
2.2930,0.7801
2.2940,0.7801
2.2950,0.7801
2.2960,0.7801
2.2970,0.7801
2.2980,0.7801
2.2990,0.7801
2.3000,0.7801
2.3010,0.7801
2.3020,0.7801
2.3030,0.7801
2.3040,0.7801
2.3050,0.7801
2.3060,0.7801
2.3070,0.7801
2.3080,0.7801
2.3090,0.7801
2.3100,0.7801
2.3110,0.7801
2.3120,0.7801
2.3130,0.7801
2.3140,0.7802
2.3150,0.7802
2.3160,0.7802
2.3170,0.7802
2.3180,0.7802
2.3190,0.7802
2.3200,0.7802
2.3210,0.7802
2.3220,0.7802
2.3230,0.7802
2.3240,0.7802
2.3250,0.7802
2.3260,0.7802
2.3270,0.7803
2.3280,0.7803
2.3290,0.7803
2.3300,0.7803
2.3310,0.7803
2.3320,0.7803
2.3330,0.7803
2.3340,0.7803
2.3350,0.7803
2.3360,0.7804
2.3370,0.7804
2.3380,0.7804
2.3390,0.7804
2.3400,0.7804
2.3410,0.7804
2.3420,0.7804
2.3430,0.7804
2.3440,0.7805
2.3450,0.7805
2.3460,0.7805
2.3470,0.7805
2.3480,0.7805
2.3490,0.7805
2.3500,0.7805
2.3510,0.7805
2.3520,0.7806
2.3530,0.7806
2.3540,0.7806
2.3550,0.7806
2.3560,0.7806
2.3570,0.7806
2.3580,0.7807
2.3590,0.7807
2.3600,0.7807
2.3610,0.7807
2.3620,0.7807
2.3630,0.7807
2.3640,0.7808
2.3650,0.7808
2.3660,0.7808
2.3670,0.7808
2.3680,0.7808
2.3690,0.7808
2.3700,0.7809
2.3710,0.7809
2.3720,0.7809
2.3730,0.7809
2.3740,0.7809
2.3750,0.7810
2.3760,0.7810
2.3770,0.7810
2.3780,0.7810
2.3790,0.7810
2.3800,0.7811
2.3810,0.7811
2.3820,0.7811
2.3830,0.7811
2.3840,0.7811
2.3850,0.7812
2.3860,0.7812
2.3870,0.7812
2.3880,0.7812
2.3890,0.7813
2.3900,0.7813
2.3910,0.7813
2.3920,0.7813
2.3930,0.7814
2.3940,0.7814
2.3950,0.7814
2.3960,0.7814
2.3970,0.7814
2.3980,0.7815
2.3990,0.7815
2.4000,0.7815
2.4010,0.7815
2.4020,0.7816
2.4030,0.7816
2.4040,0.7816
2.4050,0.7816
2.4060,0.7817
2.4070,0.7817
2.4080,0.7817
2.4090,0.7818
2.4100,0.7818
2.4110,0.7818
2.4120,0.7818
2.4130,0.7819
2.4140,0.7819
2.4150,0.7819
2.4160,0.7819
2.4170,0.7820
2.4180,0.7820
2.4190,0.7820
2.4200,0.7821
2.4210,0.7821
2.4220,0.7821
2.4230,0.7821
2.4240,0.7822
2.4250,0.7822
2.4260,0.7822
2.4270,0.7823
2.4280,0.7823
