# wavelength (microns), transmission, emissivity
0.5000,0.0007,0.0000
0.5010,0.0008,0.0000
0.5020,0.0008,0.0000
0.5030,0.0009,0.0000
0.5040,0.0009,0.0000
0.5050,0.0010,0.0000
0.5060,0.0011,0.0000
0.5070,0.0012,0.0000
0.5080,0.0012,0.0000
0.5090,0.0013,0.0000
0.5100,0.0014,0.0000
0.5110,0.0015,0.0000
0.5120,0.0016,0.0000
0.5130,0.0017,0.0000
0.5140,0.0019,0.0000
0.5150,0.0020,0.0000
0.5160,0.0021,0.0000
0.5170,0.0022,0.0000
0.5180,0.0024,0.0000
0.5190,0.0026,0.0000
0.5200,0.0027,0.0000
0.5210,0.0029,0.0000
0.5220,0.0030,0.0000
0.5230,0.0032,0.0000
0.5240,0.0034,0.0000
0.5250,0.0036,0.0000
0.5260,0.0037,0.0000
0.5270,0.0039,0.0000
0.5280,0.0041,0.0000
0.5290,0.0043,0.0000
0.5300,0.0044,0.0000
0.5310,0.0047,0.0000
0.5320,0.0048,0.0000
0.5330,0.0050,0.0000
0.5340,0.0052,0.0000
0.5350,0.0054,0.0000
0.5360,0.0056,0.0000
0.5370,0.0058,0.0000
0.5380,0.0060,0.0000
0.5390,0.0063,0.0000
0.5400,0.0065,0.0000
0.5410,0.0067,0.0000
0.5420,0.0069,0.0000
0.5430,0.0071,0.0000
0.5440,0.0073,0.0000
0.5450,0.0076,0.0000
0.5460,0.0078,0.0000
0.5470,0.0080,0.0000
0.5480,0.0082,0.0000
0.5490,0.0084,0.0000
0.5500,0.0087,0.0000
0.5510,0.0089,0.0000
0.5520,0.0091,0.0000
0.5530,0.0093,0.0000
0.5540,0.0096,0.0000
0.5550,0.0098,0.0000
0.5560,0.0100,0.0000
0.5570,0.0102,0.0000
0.5580,0.0104,0.0000
0.5590,0.0106,0.0000
0.5600,0.0108,0.0000
0.5610,0.0110,0.0000
0.5620,0.0112,0.0000
0.5630,0.0114,0.0000
0.5640,0.0116,0.0000
0.5650,0.0118,0.0000
0.5660,0.0120,0.0000
0.5670,0.0121,0.0000
0.5680,0.0123,0.0000
0.5690,0.0124,0.0000
0.5700,0.0126,0.0000
0.5710,0.0127,0.0000
0.5720,0.0129,0.0000
0.5730,0.0130,0.0000
0.5740,0.0131,0.0000
0.5750,0.0132,0.0000
0.5760,0.0133,0.0000
0.5770,0.0134,0.0000
0.5780,0.0135,0.0000
0.5790,0.0135,0.0000
0.5800,0.0136,0.0000
0.5810,0.0137,0.0000
0.5820,0.0137,0.0000
0.5830,0.0137,0.0000
0.5840,0.0138,0.0000
0.5850,0.0138,0.0000
0.5860,0.0138,0.0000
0.5870,0.0138,0.0000
0.5880,0.0138,0.0000
0.5890,0.0137,0.0000
0.5900,0.0137,0.0000
0.5910,0.0137,0.0000
0.5920,0.0136,0.0000
0.5930,0.0136,0.0000
0.5940,0.0135,0.0000
0.5950,0.0134,0.0000
0.5960,0.0133,0.0000
0.5970,0.0132,0.0000
0.5980,0.0131,0.0000
0.5990,0.0130,0.0000
0.6000,0.0128,0.0000
0.6010,0.0127,0.0000
0.6020,0.0125,0.0000
0.6030,0.0124,0.0000
0.6040,0.0122,0.0000
0.6050,0.0120,0.0000
0.6060,0.0118,0.0000
0.6070,0.0116,0.0000
0.6080,0.0114,0.0000
0.6090,0.0112,0.0000
0.6100,0.0110,0.0000
0.6110,0.0108,0.0000
0.6120,0.0106,0.0000
0.6130,0.0103,0.0000
0.6140,0.0101,0.0000
0.6150,0.0099,0.0000
0.6160,0.0097,0.0000
0.6170,0.0094,0.0000
0.6180,0.0092,0.0000
0.6190,0.0090,0.0000
0.6200,0.0088,0.0000
0.6210,0.0086,0.0000
0.6220,0.0084,0.0000
0.6230,0.0082,0.0000
0.6240,0.0080,0.0000
0.6250,0.0078,0.0000
0.6260,0.0076,0.0000
0.6270,0.0074,0.0000
0.6280,0.0072,0.0000
0.6290,0.0071,0.0000
0.6300,0.0069,0.0000
0.6310,0.0068,0.0000
0.6320,0.0066,0.0000
0.6330,0.0065,0.0000
0.6340,0.0064,0.0000
0.6350,0.0063,0.0000
0.6360,0.0062,0.0000
0.6370,0.0061,0.0000
0.6380,0.0060,0.0000
0.6390,0.0060,0.0000
0.6400,0.0060,0.0000
0.6410,0.0060,0.0000
0.6420,0.0060,0.0000
0.6430,0.0060,0.0000
0.6440,0.0061,0.0000
0.6450,0.0061,0.0000
0.6460,0.0062,0.0000
0.6470,0.0063,0.0000
0.6480,0.0065,0.0000
0.6490,0.0066,0.0000
0.6500,0.0068,0.0000
0.6510,0.0069,0.0000
0.6520,0.0071,0.0000
0.6530,0.0072,0.0000
0.6540,0.0074,0.0000
0.6550,0.0076,0.0000
0.6560,0.0078,0.0000
0.6570,0.0081,0.0000
0.6580,0.0083,0.0000
0.6590,0.0086,0.0000
0.6600,0.0089,0.0000
0.6610,0.0092,0.0000
0.6620,0.0095,0.0000
0.6630,0.0099,0.0000
0.6640,0.0103,0.0000
0.6650,0.0107,0.0000
0.6660,0.0111,0.0000
0.6670,0.0115,0.0000
0.6680,0.0120,0.0000
0.6690,0.0125,0.0000
0.6700,0.0130,0.0000
0.6710,0.0135,0.0000
0.6720,0.0140,0.0000
0.6730,0.0146,0.0000
0.6740,0.0152,0.0000
0.6750,0.0158,0.0000
0.6760,0.0164,0.0000
0.6770,0.0170,0.0000
0.6780,0.0177,0.0000
0.6790,0.0184,0.0000
0.6800,0.0191,0.0000
0.6810,0.0199,0.0000
0.6820,0.0206,0.0000
0.6830,0.0214,0.0000
0.6840,0.0222,0.0000
0.6850,0.0231,0.0000
0.6860,0.0239,0.0000
0.6870,0.0248,0.0000
0.6880,0.0257,0.0000
0.6890,0.0267,0.0000
0.6900,0.0277,0.0000
0.6910,0.0286,0.0000
0.6920,0.0296,0.0000
0.6930,0.0307,0.0000
0.6940,0.0317,0.0000
0.6950,0.0328,0.0000
0.6960,0.0339,0.0000
0.6970,0.0350,0.0000
0.6980,0.0362,0.0000
0.6990,0.0374,0.0000
0.7000,0.0386,0.0000
0.7010,0.0397,0.0000
0.7020,0.0408,0.0000
0.7030,0.0420,0.0000
0.7040,0.0432,0.0000
0.7050,0.0444,0.0000
0.7060,0.0456,0.0000
0.7070,0.0468,0.0000
0.7080,0.0481,0.0000
0.7090,0.0494,0.0000
0.7100,0.0507,0.0000
0.7110,0.0520,0.0000
0.7120,0.0534,0.0000
0.7130,0.0548,0.0000
0.7140,0.0563,0.0000
0.7150,0.0577,0.0000
0.7160,0.0591,0.0000
0.7170,0.0606,0.0000
0.7180,0.0622,0.0000
0.7190,0.0637,0.0000
0.7200,0.0652,0.0000
0.7210,0.0668,0.0000
0.7220,0.0684,0.0000
0.7230,0.0700,0.0000
0.7240,0.0716,0.0000
0.7250,0.0732,0.0000
0.7260,0.0749,0.0000
0.7270,0.0766,0.0000
0.7280,0.0783,0.0000
0.7290,0.0800,0.0000
0.7300,0.0817,0.0000
0.7310,0.0834,0.0000
0.7320,0.0852,0.0000
0.7330,0.0870,0.0000
0.7340,0.0888,0.0000
0.7350,0.0906,0.0000
0.7360,0.0924,0.0000
0.7370,0.0942,0.0000
0.7380,0.0961,0.0000
0.7390,0.0979,0.0000
0.7400,0.0998,0.0000
0.7410,0.1017,0.0000
0.7420,0.1036,0.0000
0.7430,0.1055,0.0000
0.7440,0.1074,0.0000
0.7450,0.1094,0.0000
0.7460,0.1113,0.0000
0.7470,0.1133,0.0000
0.7480,0.1153,0.0000
0.7490,0.1173,0.0000
0.7500,0.1193,0.0000
0.7510,0.1212,0.0000
0.7520,0.1231,0.0000
0.7530,0.1250,0.0000
0.7540,0.1269,0.0000
0.7550,0.1289,0.0000
0.7560,0.1309,0.0000
0.7570,0.1329,0.0000
0.7580,0.1349,0.0000
0.7590,0.1368,0.0000
0.7600,0.1388,0.0000
0.7610,0.1409,0.0000
0.7620,0.1429,0.0000
0.7630,0.1450,0.0000
0.7640,0.1471,0.0000
0.7650,0.1493,0.0000
0.7660,0.1514,0.0000
0.7670,0.1535,0.0000
0.7680,0.1557,0.0000
0.7690,0.1578,0.0000
0.7700,0.1600,0.0000
0.7710,0.1622,0.0000
0.7720,0.1645,0.0000
0.7730,0.1667,0.0000
0.7740,0.1689,0.0000
0.7750,0.1711,0.0000
0.7760,0.1733,0.0000
0.7770,0.1756,0.0000
0.7780,0.1778,0.0000
0.7790,0.1800,0.0000
0.7800,0.1823,0.0000
0.7810,0.1846,0.0000
0.7820,0.1868,0.0000
0.7830,0.1891,0.0000
0.7840,0.1913,0.0000
0.7850,0.1937,0.0000
0.7860,0.1961,0.0000
0.7870,0.1984,0.0000
0.7880,0.2007,0.0000
0.7890,0.2029,0.0000
0.7900,0.2052,0.0000
0.7910,0.2077,0.0000
0.7920,0.2101,0.0000
0.7930,0.2123,0.0000
0.7940,0.2147,0.0000
0.7950,0.2171,0.0000
0.7960,0.2195,0.0000
0.7970,0.2218,0.0000
0.7980,0.2241,0.0000
0.7990,0.2265,0.0000
0.8000,0.2289,0.0000
0.8010,0.2312,0.0000
0.8020,0.2334,0.0000
0.8030,0.2358,0.0000
0.8040,0.2382,0.0000
0.8050,0.2404,0.0000
0.8060,0.2427,0.0000
0.8070,0.2451,0.0000
0.8080,0.2475,0.0000
0.8090,0.2499,0.0000
0.8100,0.2523,0.0000
0.8110,0.2546,0.0000
0.8120,0.2569,0.0000
0.8130,0.2593,0.0000
0.8140,0.2617,0.0000
0.8150,0.2641,0.0000
0.8160,0.2666,0.0000
0.8170,0.2690,0.0000
0.8180,0.2715,0.0000
0.8190,0.2739,0.0000
0.8200,0.2763,0.0000
0.8210,0.2786,0.0000
0.8220,0.2809,0.0000
0.8230,0.2833,0.0000
0.8240,0.2858,0.0000
0.8250,0.2882,0.0000
0.8260,0.2907,0.0000
0.8270,0.2932,0.0000
0.8280,0.2956,0.0000
0.8290,0.2980,0.0000
0.8300,0.3005,0.0000
0.8310,0.3029,0.0000
0.8320,0.3054,0.0000
0.8330,0.3078,0.0000
0.8340,0.3102,0.0000
0.8350,0.3127,0.0000
0.8360,0.3151,0.0000
0.8370,0.3173,0.0000
0.8380,0.3196,0.0000
0.8390,0.3221,0.0000
0.8400,0.3247,0.0000
0.8410,0.3271,0.0000
0.8420,0.3295,0.0000
0.8430,0.3320,0.0000
0.8440,0.3344,0.0000
0.8450,0.3368,0.0000
0.8460,0.3392,0.0000
0.8470,0.3417,0.0000
0.8480,0.3441,0.0000
0.8490,0.3465,0.0000
0.8500,0.3490,0.0000
0.8510,0.3517,0.0000
0.8520,0.3544,0.0000
0.8530,0.3570,0.0000
0.8540,0.3595,0.0000
0.8550,0.3620,0.0000
0.8560,0.3646,0.0000
0.8570,0.3672,0.0000
0.8580,0.3697,0.0000
0.8590,0.3722,0.0000
0.8600,0.3748,0.0000
0.8610,0.3775,0.0000
0.8620,0.3802,0.0000
0.8630,0.3827,0.0000
0.8640,0.3851,0.0000
0.8650,0.3875,0.0000
0.8660,0.3899,0.0000
0.8670,0.3922,0.0000
0.8680,0.3946,0.0000
0.8690,0.3972,0.0000
0.8700,0.3997,0.0000
0.8710,0.4021,0.0000
0.8720,0.4044,0.0000
0.8730,0.4067,0.0000
0.8740,0.4090,0.0000
0.8750,0.4112,0.0000
0.8760,0.4136,0.0000
0.8770,0.4161,0.0000
0.8780,0.4186,0.0000
0.8790,0.4209,0.0000
0.8800,0.4231,0.0000
0.8810,0.4254,0.0000
0.8820,0.4277,0.0000
0.8830,0.4302,0.0000
0.8840,0.4328,0.0000
0.8850,0.4351,0.0000
0.8860,0.4373,0.0000
0.8870,0.4395,0.0000
0.8880,0.4419,0.0000
0.8890,0.4451,0.0000
0.8900,0.4483,0.0000
0.8910,0.4507,0.0000
0.8920,0.4528,0.0000
0.8930,0.4553,0.0000
0.8940,0.4578,0.0000
0.8950,0.4601,0.0000
0.8960,0.4622,0.0000
0.8970,0.4644,0.0000
0.8980,0.4667,0.0000
0.8990,0.4691,0.0000
0.9000,0.4716,0.0000
0.9010,0.4738,0.0000
0.9020,0.4760,0.0000
0.9030,0.4785,0.0000
0.9040,0.4810,0.0000
0.9050,0.4833,0.0000
0.9060,0.4855,0.0000
0.9070,0.4879,0.0000
0.9080,0.4904,0.0000
0.9090,0.4927,0.0000
0.9100,0.4948,0.0000
0.9110,0.4970,0.0000
0.9120,0.4991,0.0000
0.9130,0.5013,0.0000
0.9140,0.5034,0.0000
0.9150,0.5059,0.0000
0.9160,0.5083,0.0000
0.9170,0.5104,0.0000
0.9180,0.5125,0.0000
0.9190,0.5149,0.0000
0.9200,0.5173,0.0000
0.9210,0.5195,0.0000
0.9220,0.5215,0.0000
0.9230,0.5233,0.0000
0.9240,0.5251,0.0000
0.9250,0.5274,0.0000
0.9260,0.5298,0.0000
0.9270,0.5319,0.0000
0.9280,0.5339,0.0000
0.9290,0.5359,0.0000
0.9300,0.5379,0.0000
0.9310,0.5399,0.0000
0.9320,0.5420,0.0000
0.9330,0.5442,0.0000
0.9340,0.5465,0.0000
0.9350,0.5485,0.0000
0.9360,0.5504,0.0000
0.9370,0.5524,0.0000
0.9380,0.5543,0.0000
0.9390,0.5562,0.0000
0.9400,0.5582,0.0000
0.9410,0.5604,0.0000
0.9420,0.5626,0.0000
0.9430,0.5645,0.0000
0.9440,0.5664,0.0000
0.9450,0.5686,0.0000
0.9460,0.5707,0.0000
0.9470,0.5726,0.0000
0.9480,0.5744,0.0000
0.9490,0.5763,0.0000
0.9500,0.5781,0.0000
0.9510,0.5800,0.0000
0.9520,0.5819,0.0000
0.9530,0.5837,0.0000
0.9540,0.5856,0.0000
0.9550,0.5878,0.0000
0.9560,0.5899,0.0000
0.9570,0.5918,0.0000
0.9580,0.5936,0.0000
0.9590,0.5954,0.0000
0.9600,0.5972,0.0000
0.9610,0.5990,0.0000
0.9620,0.6008,0.0000
0.9630,0.6029,0.0000
0.9640,0.6050,0.0000
0.9650,0.6069,0.0000
0.9660,0.6086,0.0000
0.9670,0.6103,0.0000
0.9680,0.6121,0.0000
0.9690,0.6138,0.0000
0.9700,0.6155,0.0000
0.9710,0.6172,0.0000
0.9720,0.6189,0.0000
0.9730,0.6206,0.0000
0.9740,0.6223,0.0000
0.9750,0.6240,0.0000
0.9760,0.6257,0.0000
0.9770,0.6277,0.0000
0.9780,0.6297,0.0000
0.9790,0.6314,0.0000
0.9800,0.6330,0.0000
0.9810,0.6346,0.0000
0.9820,0.6362,0.0000
0.9830,0.6378,0.0000
0.9840,0.6394,0.0000
0.9850,0.6410,0.0000
0.9860,0.6426,0.0000
0.9870,0.6441,0.0000
0.9880,0.6457,0.0000
0.9890,0.6477,0.0000
0.9900,0.6495,0.0000
0.9910,0.6511,0.0000
0.9920,0.6526,0.0000
0.9930,0.6541,0.0000
0.9940,0.6557,0.0000
0.9950,0.6572,0.0000
0.9960,0.6586,0.0000
0.9970,0.6601,0.0000
0.9980,0.6616,0.0000
0.9990,0.6630,0.0000
1.0000,0.6645,0.0000
1.0010,0.6664,0.0000
1.0020,0.6683,0.0000
1.0030,0.6698,0.0000
1.0040,0.6713,0.0000
1.0050,0.6728,0.0000
1.0060,0.6743,0.0000
1.0070,0.6757,0.0000
1.0080,0.6772,0.0000
1.0090,0.6787,0.0000
1.0100,0.6801,0.0000
1.0110,0.6815,0.0000
1.0120,0.6830,0.0000
1.0130,0.6847,0.0000
1.0140,0.6865,0.0000
1.0150,0.6880,0.0000
1.0160,0.6893,0.0000
1.0170,0.6907,0.0000
1.0180,0.6921,0.0000
1.0190,0.6934,0.0000
1.0200,0.6948,0.0000
1.0210,0.6961,0.0000
1.0220,0.6975,0.0000
1.0230,0.6988,0.0000
1.0240,0.7001,0.0000
1.0250,0.7014,0.0000
1.0260,0.7027,0.0000
1.0270,0.7040,0.0000
1.0280,0.7053,0.0000
1.0290,0.7065,0.0000
1.0300,0.7078,0.0000
1.0310,0.7095,0.0000
1.0320,0.7111,0.0000
1.0330,0.7124,0.0000
1.0340,0.7136,0.0000
1.0350,0.7148,0.0000
1.0360,0.7160,0.0000
1.0370,0.7172,0.0000
1.0380,0.7184,0.0000
1.0390,0.7196,0.0000
1.0400,0.7208,0.0000
1.0410,0.7220,0.0000
1.0420,0.7231,0.0000
1.0430,0.7243,0.0000
1.0440,0.7254,0.0000
1.0450,0.7265,0.0000
1.0460,0.7277,0.0000
1.0470,0.7292,0.0000
1.0480,0.7307,0.0000
1.0490,0.7319,0.0000
1.0500,0.7329,0.0000
1.0510,0.7341,0.0000
1.0520,0.7353,0.0000
1.0530,0.7364,0.0000
1.0540,0.7376,0.0000
1.0550,0.7387,0.0000
1.0560,0.7398,0.0000
1.0570,0.7409,0.0000
1.0580,0.7420,0.0000
1.0590,0.7431,0.0000
1.0600,0.7442,0.0000
1.0610,0.7457,0.0000
1.0620,0.7472,0.0000
1.0630,0.7483,0.0000
1.0640,0.7493,0.0000
1.0650,0.7503,0.0000
1.0660,0.7513,0.0000
1.0670,0.7523,0.0000
1.0680,0.7534,0.0000
1.0690,0.7548,0.0000
1.0700,0.7562,0.0000
1.0710,0.7568,0.0000
1.0720,0.7574,0.0000
1.0730,0.7583,0.0000
1.0740,0.7593,0.0000
1.0750,0.7603,0.0000
1.0760,0.7612,0.0000
1.0770,0.7621,0.0000
1.0780,0.7631,0.0000
1.0790,0.7644,0.0000
1.0800,0.7657,0.0000
1.0810,0.7667,0.0000
1.0820,0.7675,0.0000
1.0830,0.7684,0.0000
1.0840,0.7693,0.0000
1.0850,0.7706,0.0000
1.0860,0.7719,0.0000
1.0870,0.7728,0.0000
1.0880,0.7736,0.0000
1.0890,0.7744,0.0000
1.0900,0.7753,0.0000
1.0910,0.7766,0.0000
1.0920,0.7778,0.0000
1.0930,0.7787,0.0000
1.0940,0.7794,0.0000
1.0950,0.7803,0.0000
1.0960,0.7810,0.0000
1.0970,0.7814,0.0000
1.0980,0.7818,0.0000
1.0990,0.7829,0.0000
1.1000,0.7842,0.0000
1.1010,0.7850,0.0000
1.1020,0.7858,0.0000
1.1030,0.7870,0.0000
1.1040,0.7883,0.0000
1.1050,0.7891,0.0000
1.1060,0.7898,0.0000
1.1070,0.7906,0.0000
1.1080,0.7914,0.0000
1.1090,0.7922,0.0000
1.1100,0.7929,0.0000
1.1110,0.7936,0.0000
1.1120,0.7944,0.0000
1.1130,0.7951,0.0000
1.1140,0.7958,0.0000
1.1150,0.7970,0.0000
1.1160,0.7981,0.0000
1.1170,0.7989,0.0000
1.1180,0.7995,0.0000
1.1190,0.8002,0.0000
1.1200,0.8008,0.0000
1.1210,0.8015,0.0000
1.1220,0.8022,0.0000
1.1230,0.8033,0.0000
1.1240,0.8043,0.0000
1.1250,0.8050,0.0000
1.1260,0.8056,0.0000
1.1270,0.8062,0.0000
1.1280,0.8068,0.0000
1.1290,0.8074,0.0000
1.1300,0.8081,0.0000
1.1310,0.8086,0.0000
1.1320,0.8092,0.0000
1.1330,0.8103,0.0000
1.1340,0.8113,0.0000
1.1350,0.8119,0.0000
1.1360,0.8124,0.0000
1.1370,0.8130,0.0000
1.1380,0.8135,0.0000
1.1390,0.8140,0.0000
1.1400,0.8146,0.0000
1.1410,0.8156,0.0000
1.1420,0.8165,0.0000
1.1430,0.8170,0.0000
1.1440,0.8176,0.0000
1.1450,0.8185,0.0000
1.1460,0.8194,0.0000
1.1470,0.8199,0.0000
