# wavelength (microns), beta, x (microns), y (microns)
0.8164,10.4000,8208.0000,2876.4666
0.8168,10.4000,8190.0000,2875.7446
0.8171,10.4000,8172.0000,2875.0229
0.8174,10.4000,8154.0000,2874.3030
0.8177,10.4000,8136.0000,2873.5830
0.8180,10.4000,8118.0000,2872.8650
0.8184,10.4000,8100.0000,2872.1467
0.8187,10.4000,8082.0000,2871.4302
0.8190,10.4000,8064.0000,2870.7139
0.8193,10.4000,8046.0000,2869.9976
0.8196,10.4000,8028.0000,2869.2827
0.8200,10.4000,8010.0000,2868.5681
0.8203,10.4000,7992.0000,2867.8555
0.8206,10.4000,7974.0000,2867.1426
0.8209,10.4000,7956.0000,2866.4316
0.8212,10.4000,7938.0000,2865.7205
0.8216,10.4000,7920.0000,2865.0112
0.8219,10.4000,7902.0000,2864.3022
0.8222,10.4000,7884.0000,2863.5930
0.8225,10.4000,7866.0000,2862.8855
0.8228,10.4000,7848.0000,2862.1782
0.8232,10.4000,7830.0000,2861.4727
0.8235,10.4000,7812.0000,2860.7671
0.8238,10.4000,7794.0000,2860.0630
0.8241,10.4000,7776.0000,2859.3594
0.8244,10.4000,7758.0000,2858.6555
0.8248,10.4000,7740.0000,2857.9536
0.8251,10.4000,7722.0000,2857.2534
0.8254,10.4000,7704.0000,2856.5513
0.8257,10.4000,7686.0000,2855.8530
0.8260,10.4000,7668.0000,2855.1528
0.8264,10.4000,7650.0000,2854.4543
0.8267,10.4000,7632.0000,2853.7578
0.8270,10.4000,7614.0000,2853.0613
0.8273,10.4000,7596.0000,2852.3647
0.8276,10.4000,7578.0000,2851.6699
0.8280,10.4000,7560.0000,2850.9768
0.8283,10.4000,7542.0000,2850.2820
0.8286,10.4000,7524.0000,2849.5908
0.8289,10.4000,7506.0000,2848.8977
0.8292,10.4000,7488.0000,2848.2065
0.8296,10.4000,7470.0000,2847.5173
0.8299,10.4000,7452.0000,2846.8279
0.8302,10.4000,7434.0000,2846.1384
0.8305,10.4000,7416.0000,2845.4507
0.8308,10.4000,7398.0000,2844.7632
0.8312,10.4000,7380.0000,2844.0774
0.8315,10.4000,7362.0000,2843.3916
0.8318,10.4000,7344.0000,2842.7075
0.8321,10.4000,7326.0000,2842.0234
