# wavelength (microns), beta, x (microns), y (microns)
0.8309,10.4000,36792.0000,1194.1199
0.8318,10.4000,36774.0000,1190.8890
0.8328,10.4000,36756.0000,1187.6707
0.8338,10.4000,36738.0000,1184.4629
0.8348,10.4000,36720.0000,1181.2679
0.8357,10.4000,36702.0000,1178.0837
0.8367,10.4000,36684.0000,1174.9122
0.8377,10.4000,36666.0000,1171.7532
0.8386,10.4000,36648.0000,1168.6050
0.8396,10.4000,36630.0000,1165.4675
0.8406,10.4000,36612.0000,1162.3428
0.8415,10.4000,36594.0000,1159.2288
0.8425,10.4000,36576.0000,1156.1274
0.8435,10.4000,36558.0000,1153.0369
0.8445,10.4000,36540.0000,1149.9589
0.8454,10.4000,36522.0000,1146.8916
0.8464,10.4000,36504.0000,1143.8352
0.8474,10.4000,36486.0000,1140.7914
0.8483,10.4000,36468.0000,1137.7584
0.8493,10.4000,36450.0000,1134.7362
0.8503,10.4000,36432.0000,1131.7266
0.8512,10.4000,36414.0000,1128.7278
0.8522,10.4000,36396.0000,1125.7397
0.8532,10.4000,36378.0000,1122.7644
0.8542,10.4000,36360.0000,1119.7980
0.8551,10.4000,36342.0000,1116.8441
0.8561,10.4000,36324.0000,1113.9012
0.8571,10.4000,36306.0000,1110.9708
0.8580,10.4000,36288.0000,1108.0494
0.8590,10.4000,36270.0000,1105.1406
0.8600,10.4000,36252.0000,1102.2408
0.8610,10.4000,36234.0000,1099.3536
0.8619,10.4000,36216.0000,1096.4772
0.8629,10.4000,36198.0000,1093.6116
0.8639,10.4000,36180.0000,1090.7568
0.8648,10.4000,36162.0000,1087.9127
0.8658,10.4000,36144.0000,1085.0814
0.8668,10.4000,36126.0000,1082.2590
0.8677,10.4000,36108.0000,1079.4474
0.8687,10.4000,36090.0000,1076.6466
0.8697,10.4000,36072.0000,1073.8566
0.8707,10.4000,36054.0000,1071.0774
0.8716,10.4000,36036.0000,1068.3091
0.8726,10.4000,36018.0000,1065.5514
0.8736,10.4000,36000.0000,1062.8046
0.8745,10.4000,35982.0000,1060.0686
0.8755,10.4000,35964.0000,1057.3416
0.8765,10.4000,35946.0000,1054.6272
0.8774,10.4000,35928.0000,1051.9219
0.8784,10.4000,35910.0000,1049.2272
0.8794,10.4000,35892.0000,1046.5435
0.8803,10.4000,35874.0000,1043.8704
0.8813,10.4000,35856.0000,1041.2064
0.8823,10.4000,35838.0000,1038.5532
0.8833,10.4000,35820.0000,1035.9108
0.8842,10.4000,35802.0000,1033.2792
0.8852,10.4000,35784.0000,1030.6566
0.8862,10.4000,35766.0000,1028.0448
0.8871,10.4000,35748.0000,1025.4438
0.8881,10.4000,35730.0000,1022.8536
0.8891,10.4000,35712.0000,1020.2724
0.8900,10.4000,35694.0000,1017.7020
0.8910,10.4000,35676.0000,1015.1406
0.8920,10.4000,35658.0000,1012.5900
0.8930,10.4000,35640.0000,1010.0484
0.8939,10.4000,35622.0000,1007.5176
0.8949,10.4000,35604.0000,1004.9976
0.8959,10.4000,35586.0000,1002.4866
0.8968,10.4000,35568.0000,999.9865
0.8978,10.4000,35550.0000,997.4952
0.8988,10.4000,35532.0000,995.0148
0.8998,10.4000,35514.0000,992.5434
0.9007,10.4000,35496.0000,990.0828
0.9017,10.4000,35478.0000,987.6312
0.9027,10.4000,35460.0000,985.1886
0.9036,10.4000,35442.0000,982.7568
0.9046,10.4000,35424.0000,980.3358
0.9056,10.4000,35406.0000,977.9220
0.9065,10.4000,35388.0000,975.5208
0.9075,10.4000,35370.0000,973.1268
0.9085,10.4000,35352.0000,970.7436
0.9095,10.4000,35334.0000,968.3694
0.9104,10.4000,35316.0000,966.0042
0.9114,10.4000,35298.0000,963.6498
0.9124,10.4000,35280.0000,961.3044
0.9133,10.4000,35262.0000,958.9698
0.9143,10.4000,35244.0000,956.6424
0.9153,10.4000,35226.0000,954.3258
0.9162,10.4000,35208.0000,952.0182
0.9172,10.4000,35190.0000,949.7196
0.9182,10.4000,35172.0000,947.4318
0.9192,10.4000,35154.0000,945.1512
0.9201,10.4000,35136.0000,942.8814
0.9211,10.4000,35118.0000,940.6206
0.9221,10.4000,35100.0000,938.3688
0.9230,10.4000,35082.0000,936.1260
0.9240,10.4000,35064.0000,933.8940
0.9250,10.4000,35046.0000,931.6692
0.9259,10.4000,35028.0000,929.4552
