# wavelength (microns), transmission, emissivity
0.5000,0.1877,0.0000
0.5010,0.1885,0.0000
0.5020,0.1893,0.0000
0.5030,0.1902,0.0000
0.5040,0.1911,0.0000
0.5050,0.1920,0.0000
0.5060,0.1929,0.0000
0.5070,0.1938,0.0000
0.5080,0.1947,0.0000
0.5090,0.1957,0.0000
0.5100,0.1967,0.0000
0.5110,0.1976,0.0000
0.5120,0.1986,0.0000
0.5130,0.1997,0.0000
0.5140,0.2008,0.0000
0.5150,0.2018,0.0000
0.5160,0.2029,0.0000
0.5170,0.2040,0.0000
0.5180,0.2051,0.0000
0.5190,0.2063,0.0000
0.5200,0.2074,0.0000
0.5210,0.2085,0.0000
0.5220,0.2098,0.0000
0.5230,0.2110,0.0000
0.5240,0.2121,0.0000
0.5250,0.2134,0.0000
0.5260,0.2147,0.0000
0.5270,0.2160,0.0000
0.5280,0.2172,0.0000
0.5290,0.2185,0.0000
0.5300,0.2199,0.0000
0.5310,0.2212,0.0000
0.5320,0.2226,0.0000
0.5330,0.2240,0.0000
0.5340,0.2254,0.0000
0.5350,0.2268,0.0000
0.5360,0.2282,0.0000
0.5370,0.2296,0.0000
0.5380,0.2312,0.0000
0.5390,0.2326,0.0000
0.5400,0.2341,0.0000
0.5410,0.2357,0.0000
0.5420,0.2372,0.0000
0.5430,0.2388,0.0000
0.5440,0.2404,0.0000
0.5450,0.2420,0.0000
0.5460,0.2436,0.0000
0.5470,0.2452,0.0000
0.5480,0.2469,0.0000
0.5490,0.2486,0.0000
0.5500,0.2502,0.0000
0.5510,0.2520,0.0000
0.5520,0.2537,0.0000
0.5530,0.2554,0.0000
0.5540,0.2572,0.0000
0.5550,0.2590,0.0000
0.5560,0.2609,0.0000
0.5570,0.2627,0.0000
0.5580,0.2645,0.0000
0.5590,0.2664,0.0000
0.5600,0.2682,0.0000
0.5610,0.2702,0.0000
0.5620,0.2721,0.0000
0.5630,0.2740,0.0000
0.5640,0.2759,0.0000
0.5650,0.2779,0.0000
0.5660,0.2799,0.0000
0.5670,0.2820,0.0000
0.5680,0.2840,0.0000
0.5690,0.2860,0.0000
0.5700,0.2881,0.0000
0.5710,0.2902,0.0000
0.5720,0.2923,0.0000
0.5730,0.2945,0.0000
0.5740,0.2965,0.0000
0.5750,0.2987,0.0000
0.5760,0.3009,0.0000
0.5770,0.3031,0.0000
0.5780,0.3053,0.0000
0.5790,0.3075,0.0000
0.5800,0.3098,0.0000
0.5810,0.3120,0.0000
0.5820,0.3144,0.0000
0.5830,0.3167,0.0000
0.5840,0.3190,0.0000
0.5850,0.3214,0.0000
0.5860,0.3237,0.0000
0.5870,0.3261,0.0000
0.5880,0.3285,0.0000
0.5890,0.3309,0.0000
0.5900,0.3334,0.0000
0.5910,0.3357,0.0000
0.5920,0.3382,0.0000
0.5930,0.3407,0.0000
0.5940,0.3432,0.0000
0.5950,0.3458,0.0000
0.5960,0.3483,0.0000
0.5970,0.3508,0.0000
0.5980,0.3534,0.0000
0.5990,0.3561,0.0000
0.6000,0.3586,0.0000
0.6010,0.3612,0.0000
0.6020,0.3638,0.0000
0.6030,0.3665,0.0000
0.6040,0.3692,0.0000
0.6050,0.3718,0.0000
0.6060,0.3746,0.0000
0.6070,0.3772,0.0000
0.6080,0.3800,0.0000
0.6090,0.3827,0.0000
0.6100,0.3855,0.0000
0.6110,0.3882,0.0000
0.6120,0.3910,0.0000
0.6130,0.3937,0.0000
0.6140,0.3966,0.0000
0.6150,0.3995,0.0000
0.6160,0.4022,0.0000
0.6170,0.4051,0.0000
0.6180,0.4079,0.0000
0.6190,0.4108,0.0000
0.6200,0.4137,0.0000
0.6210,0.4165,0.0000
0.6220,0.4195,0.0000
0.6230,0.4223,0.0000
0.6240,0.4253,0.0000
0.6250,0.4283,0.0000
0.6260,0.4312,0.0000
0.6270,0.4341,0.0000
0.6280,0.4370,0.0000
0.6290,0.4401,0.0000
0.6300,0.4429,0.0000
0.6310,0.4460,0.0000
0.6320,0.4489,0.0000
0.6330,0.4519,0.0000
0.6340,0.4550,0.0000
0.6350,0.4579,0.0000
0.6360,0.4609,0.0000
0.6370,0.4641,0.0000
0.6380,0.4670,0.0000
0.6390,0.4700,0.0000
0.6400,0.4730,0.0000
0.6410,0.4761,0.0000
0.6420,0.4791,0.0000
0.6430,0.4821,0.0000
0.6440,0.4852,0.0000
0.6450,0.4883,0.0000
0.6460,0.4914,0.0000
0.6470,0.4943,0.0000
0.6480,0.4974,0.0000
0.6490,0.5005,0.0000
0.6500,0.5035,0.0000
0.6510,0.5066,0.0000
0.6520,0.5096,0.0000
0.6530,0.5127,0.0000
0.6540,0.5156,0.0000
0.6550,0.5187,0.0000
0.6560,0.5217,0.0000
0.6570,0.5248,0.0000
0.6580,0.5278,0.0000
0.6590,0.5308,0.0000
0.6600,0.5338,0.0000
0.6610,0.5368,0.0000
0.6620,0.5398,0.0000
0.6630,0.5428,0.0000
0.6640,0.5458,0.0000
0.6650,0.5487,0.0000
0.6660,0.5517,0.0000
0.6670,0.5547,0.0000
0.6680,0.5575,0.0000
0.6690,0.5605,0.0000
0.6700,0.5634,0.0000
0.6710,0.5663,0.0000
0.6720,0.5692,0.0000
0.6730,0.5720,0.0000
0.6740,0.5749,0.0000
0.6750,0.5776,0.0000
0.6760,0.5806,0.0000
0.6770,0.5834,0.0000
0.6780,0.5861,0.0000
0.6790,0.5889,0.0000
0.6800,0.5916,0.0000
0.6810,0.5944,0.0000
0.6820,0.5970,0.0000
0.6830,0.5997,0.0000
0.6840,0.6023,0.0000
0.6850,0.6050,0.0000
0.6860,0.6076,0.0000
0.6870,0.6102,0.0000
0.6880,0.6128,0.0000
0.6890,0.6153,0.0000
0.6900,0.6177,0.0000
0.6910,0.6202,0.0000
0.6920,0.6227,0.0000
0.6930,0.6251,0.0000
0.6940,0.6275,0.0000
0.6950,0.6298,0.0000
0.6960,0.6321,0.0000
0.6970,0.6344,0.0000
0.6980,0.6368,0.0000
0.6990,0.6389,0.0000
0.7000,0.6411,0.0000
0.7010,0.6432,0.0000
0.7020,0.6454,0.0000
0.7030,0.6475,0.0000
0.7040,0.6495,0.0000
0.7050,0.6515,0.0000
0.7060,0.6535,0.0000
0.7070,0.6554,0.0000
0.7080,0.6574,0.0000
0.7090,0.6592,0.0000
0.7100,0.6610,0.0000
0.7110,0.6629,0.0000
0.7120,0.6647,0.0000
0.7130,0.6664,0.0000
0.7140,0.6680,0.0000
0.7150,0.6697,0.0000
0.7160,0.6714,0.0000
0.7170,0.6730,0.0000
0.7180,0.6745,0.0000
0.7190,0.6761,0.0000
0.7200,0.6776,0.0000
0.7210,0.6791,0.0000
0.7220,0.6805,0.0000
0.7230,0.6819,0.0000
0.7240,0.6833,0.0000
0.7250,0.6848,0.0000
0.7260,0.6860,0.0000
0.7270,0.6874,0.0000
0.7280,0.6885,0.0000
