# #Wavelength,QE
# #micron,none
0.5000,0.6818
0.5010,0.6831
0.5020,0.6845
0.5030,0.6858
0.5040,0.6871
0.5050,0.6885
0.5060,0.6898
0.5070,0.6911
0.5080,0.6925
0.5090,0.6938
0.5100,0.6951
0.5110,0.6965
0.5120,0.6978
0.5130,0.6991
0.5140,0.7004
0.5150,0.7018
0.5160,0.7031
0.5170,0.7044
0.5180,0.7058
0.5190,0.7071
0.5200,0.7084
0.5210,0.7097
0.5220,0.7111
0.5230,0.7124
0.5240,0.7137
0.5250,0.7150
0.5260,0.7164
0.5270,0.7177
0.5280,0.7190
0.5290,0.7203
0.5300,0.7217
0.5310,0.7230
0.5320,0.7243
0.5330,0.7256
0.5340,0.7270
0.5350,0.7283
0.5360,0.7296
0.5370,0.7309
0.5380,0.7322
0.5390,0.7336
0.5400,0.7349
0.5410,0.7362
0.5420,0.7376
0.5430,0.7389
0.5440,0.7402
0.5450,0.7415
0.5460,0.7429
0.5470,0.7442
0.5480,0.7455
0.5490,0.7468
0.5500,0.7482
0.5510,0.7495
0.5520,0.7508
0.5530,0.7522
0.5540,0.7535
0.5550,0.7548
0.5560,0.7562
0.5570,0.7575
0.5580,0.7588
0.5590,0.7602
0.5600,0.7615
0.5610,0.7629
0.5620,0.7642
0.5630,0.7655
0.5640,0.7669
0.5650,0.7682
0.5660,0.7695
0.5670,0.7709
0.5680,0.7722
0.5690,0.7736
0.5700,0.7749
0.5710,0.7762
0.5720,0.7776
0.5730,0.7789
0.5740,0.7802
0.5750,0.7815
0.5760,0.7829
0.5770,0.7842
0.5780,0.7855
0.5790,0.7868
0.5800,0.7881
0.5810,0.7894
0.5820,0.7907
0.5830,0.7920
0.5840,0.7933
0.5850,0.7946
0.5860,0.7959
0.5870,0.7972
0.5880,0.7985
0.5890,0.7997
0.5900,0.8010
0.5910,0.8023
0.5920,0.8035
0.5930,0.8048
0.5940,0.8060
0.5950,0.8073
0.5960,0.8085
0.5970,0.8097
0.5980,0.8110
0.5990,0.8122
0.6000,0.8134
0.6010,0.8146
0.6020,0.8158
0.6030,0.8170
0.6040,0.8182
0.6050,0.8194
0.6060,0.8206
0.6070,0.8218
0.6080,0.8229
0.6090,0.8241
0.6100,0.8252
0.6110,0.8264
0.6120,0.8275
0.6130,0.8287
0.6140,0.8298
0.6150,0.8309
0.6160,0.8320
0.6170,0.8331
0.6180,0.8342
0.6190,0.8353
0.6200,0.8364
0.6210,0.8375
0.6220,0.8386
0.6230,0.8396
0.6240,0.8407
0.6250,0.8417
0.6260,0.8428
0.6270,0.8438
0.6280,0.8448
0.6290,0.8458
0.6300,0.8469
0.6310,0.8478
0.6320,0.8488
0.6330,0.8498
0.6340,0.8508
0.6350,0.8517
0.6360,0.8527
0.6370,0.8536
0.6380,0.8546
0.6390,0.8555
0.6400,0.8564
0.6410,0.8573
0.6420,0.8582
0.6430,0.8591
0.6440,0.8600
0.6450,0.8608
0.6460,0.8617
0.6470,0.8625
0.6480,0.8634
0.6490,0.8642
0.6500,0.8650
0.6510,0.8658
0.6520,0.8666
0.6530,0.8674
0.6540,0.8682
0.6550,0.8689
0.6560,0.8697
0.6570,0.8704
0.6580,0.8712
0.6590,0.8719
0.6600,0.8726
0.6610,0.8733
0.6620,0.8740
0.6630,0.8747
0.6640,0.8754
0.6650,0.8760
0.6660,0.8767
0.6670,0.8774
0.6680,0.8780
0.6690,0.8786
0.6700,0.8793
0.6710,0.8799
0.6720,0.8805
0.6730,0.8811
0.6740,0.8817
0.6750,0.8823
0.6760,0.8829
0.6770,0.8834
0.6780,0.8840
0.6790,0.8846
0.6800,0.8851
0.6810,0.8856
0.6820,0.8862
0.6830,0.8867
0.6840,0.8872
0.6850,0.8877
0.6860,0.8882
0.6870,0.8887
0.6880,0.8892
0.6890,0.8896
0.6900,0.8901
0.6910,0.8905
0.6920,0.8909
0.6930,0.8914
0.6940,0.8918
0.6950,0.8922
0.6960,0.8926
0.6970,0.8929
0.6980,0.8933
0.6990,0.8936
0.7000,0.8940
0.7010,0.8943
