# wavelength (microns), beta, x (microns), y (microns)
0.5000,0.0000,14097.5977,0.0000
0.5015,0.0000,14139.8652,0.0000
0.5030,0.0000,14182.1309,0.0000
0.5045,0.0000,14224.3975,0.0000
0.5060,0.0000,14266.6660,0.0000
0.5075,0.0000,14308.9336,0.0000
0.5090,0.0000,14351.2012,0.0000
0.5105,0.0000,14393.4688,0.0000
0.5120,0.0000,14435.7373,0.0000
0.5135,0.0000,14478.0029,0.0000
0.5150,0.0000,14520.2725,0.0000
0.5165,0.0000,14562.5420,0.0000
0.5180,0.0000,14604.8115,0.0000
0.5195,0.0000,14647.0801,0.0000
0.5210,0.0000,14689.3506,0.0000
0.5225,0.0000,14731.6191,0.0000
0.5240,0.0000,14773.8896,0.0000
0.5255,0.0000,14816.1602,0.0000
0.5270,0.0000,14858.4316,0.0000
0.5285,0.0000,14900.7021,0.0000
0.5300,0.0000,14942.9727,0.0000
0.5315,0.0000,14985.2441,0.0000
0.5330,0.0000,15027.5156,0.0000
0.5345,0.0000,15069.7891,0.0000
0.5360,0.0000,15112.0615,0.0000
0.5375,0.0000,15154.3330,0.0000
0.5390,0.0000,15196.6055,0.0000
0.5405,0.0000,15238.8789,0.0000
0.5420,0.0000,15281.1533,0.0000
0.5435,0.0000,15323.4277,0.0000
0.5450,0.0000,15365.7012,0.0000
0.5465,0.0000,15407.9756,0.0000
0.5480,0.0000,15450.2490,0.0000
0.5495,0.0000,15492.5244,0.0000
0.5510,0.0000,15534.7998,0.0000
0.5525,0.0000,15577.0762,0.0000
0.5540,0.0000,15619.3535,0.0000
0.5555,0.0000,15661.6279,0.0000
0.5570,0.0000,15703.9043,0.0000
0.5585,0.0000,15746.1816,0.0000
0.5600,0.0000,15788.4600,0.0000
0.5615,0.0000,15830.7373,0.0000
0.5630,0.0000,15873.0156,0.0000
0.5645,0.0000,15915.2939,0.0000
0.5660,0.0000,15957.5732,0.0000
0.5675,0.0000,15999.8525,0.0000
0.5690,0.0000,16042.1309,0.0000
0.5705,0.0000,16084.4121,0.0000
0.5720,0.0000,16126.6914,0.0000
0.5735,0.0000,16168.9717,0.0000
0.5750,0.0000,16211.2520,0.0000
0.5765,0.0000,16253.5342,0.0000
0.5780,0.0000,16295.8164,0.0000
0.5795,0.0000,16338.0977,0.0000
0.5810,0.0000,16380.3789,0.0000
0.5825,0.0000,16422.6621,0.0000
0.5840,0.0000,16464.9453,0.0000
0.5855,0.0000,16507.2285,0.0000
0.5870,0.0000,16549.5156,0.0000
0.5885,0.0000,16591.7988,0.0000
0.5900,0.0000,16634.0820,0.0000
0.5915,0.0000,16676.3672,0.0000
0.5930,0.0000,16718.6523,0.0000
0.5945,0.0000,16760.9395,0.0000
0.5960,0.0000,16803.2246,0.0000
0.5975,0.0000,16845.5117,0.0000
0.5990,0.0000,16887.7988,0.0000
0.6005,0.0000,16930.0859,0.0000
0.6020,0.0000,16972.3750,0.0000
0.6035,0.0000,17014.6621,0.0000
0.6050,0.0000,17056.9512,0.0000
0.6065,0.0000,17099.2422,0.0000
0.6080,0.0000,17141.5312,0.0000
0.6095,0.0000,17183.8203,0.0000
0.6110,0.0000,17226.1113,0.0000
0.6125,0.0000,17268.4023,0.0000
0.6140,0.0000,17310.6934,0.0000
0.6155,0.0000,17352.9824,0.0000
0.6170,0.0000,17395.2754,0.0000
0.6185,0.0000,17437.5684,0.0000
0.6200,0.0000,17479.8613,0.0000
0.6215,0.0000,17522.1543,0.0000
0.6230,0.0000,17564.4512,0.0000
0.6245,0.0000,17606.7441,0.0000
