# wavelength (microns), beta, x (microns), y (microns)
0.5000,0.0000,39.6275,0.0000
0.5055,0.0000,77.9731,0.0000
0.5110,0.0000,115.0952,0.0000
0.5165,0.0000,151.0487,0.0000
0.5220,0.0000,185.8850,0.0000
0.5275,0.0000,219.6532,0.0000
0.5330,0.0000,252.3997,0.0000
0.5385,0.0000,284.1683,0.0000
0.5440,0.0000,315.0001,0.0000
0.5495,0.0000,344.9349,0.0000
0.5550,0.0000,374.0099,0.0000
0.5605,0.0000,402.2603,0.0000
0.5660,0.0000,429.7198,0.0000
0.5715,0.0000,456.4205,0.0000
0.5770,0.0000,482.3924,0.0000
0.5825,0.0000,507.6646,0.0000
0.5880,0.0000,532.2646,0.0000
0.5935,0.0000,556.2184,0.0000
0.5990,0.0000,579.5508,0.0000
0.6045,0.0000,602.2859,0.0000
0.6100,0.0000,624.4459,0.0000
0.6155,0.0000,646.0525,0.0000
0.6210,0.0000,667.1263,0.0000
0.6265,0.0000,687.6871,0.0000
0.6320,0.0000,707.7534,0.0000
0.6375,0.0000,727.3433,0.0000
0.6430,0.0000,746.4739,0.0000
0.6485,0.0000,765.1615,0.0000
0.6540,0.0000,783.4219,0.0000
0.6595,0.0000,801.2702,0.0000
0.6650,0.0000,818.7205,0.0000
0.6705,0.0000,835.7869,0.0000
0.6760,0.0000,852.4824,0.0000
0.6815,0.0000,868.8196,0.0000
0.6870,0.0000,884.8107,0.0000
0.6925,0.0000,900.4673,0.0000
0.6980,0.0000,915.8007,0.0000
0.7035,0.0000,930.8214,0.0000
0.7090,0.0000,945.5399,0.0000
0.7145,0.0000,959.9660,0.0000
0.7200,0.0000,974.1091,0.0000
0.7255,0.0000,987.9785,0.0000
0.7310,0.0000,1001.5828,0.0000
0.7365,0.0000,1014.9306,0.0000
0.7420,0.0000,1028.0299,0.0000
0.7475,0.0000,1040.8887,0.0000
0.7530,0.0000,1053.5143,0.0000
0.7585,0.0000,1065.9141,0.0000
0.7640,0.0000,1078.0951,0.0000
0.7695,0.0000,1090.0638,0.0000
0.7750,0.0000,1101.8271,0.0000
0.7805,0.0000,1113.3910,0.0000
0.7860,0.0000,1124.7614,0.0000
0.7915,0.0000,1135.9443,0.0000
0.7970,0.0000,1146.9453,0.0000
0.8025,0.0000,1157.7699,0.0000
0.8080,0.0000,1168.4231,0.0000
0.8135,0.0000,1178.9100,0.0000
0.8190,0.0000,1189.2357,0.0000
0.8245,0.0000,1199.4047,0.0000
0.8300,0.0000,1209.4214,0.0000
0.8355,0.0000,1219.2905,0.0000
0.8410,0.0000,1229.0164,0.0000
0.8465,0.0000,1238.6028,0.0000
0.8520,0.0000,1248.0538,0.0000
0.8575,0.0000,1257.3734,0.0000
0.8630,0.0000,1266.5653,0.0000
0.8685,0.0000,1275.6331,0.0000
0.8740,0.0000,1284.5800,0.0000
0.8795,0.0000,1293.4097,0.0000
0.8850,0.0000,1302.1255,0.0000
0.8905,0.0000,1310.7303,0.0000
0.8960,0.0000,1319.2274,0.0000
0.9015,0.0000,1327.6196,0.0000
0.9070,0.0000,1335.9100,0.0000
0.9125,0.0000,1344.1013,0.0000
0.9180,0.0000,1352.1962,0.0000
0.9235,0.0000,1360.1973,0.0000
0.9290,0.0000,1368.1072,0.0000
0.9345,0.0000,1375.9281,0.0000
0.9400,0.0000,1383.6630,0.0000
0.9455,0.0000,1391.3137,0.0000
0.9510,0.0000,1398.8827,0.0000
0.9565,0.0000,1406.3722,0.0000
0.9620,0.0000,1413.7843,0.0000
0.9675,0.0000,1421.1210,0.0000
0.9730,0.0000,1428.3844,0.0000
0.9785,0.0000,1435.5765,0.0000
0.9840,0.0000,1442.6991,0.0000
0.9895,0.0000,1449.7540,0.0000
0.9950,0.0000,1456.7432,0.0000
1.0005,0.0000,1463.6682,0.0000
1.0060,0.0000,1470.5310,0.0000
1.0115,0.0000,1477.3329,0.0000
1.0170,0.0000,1484.0758,0.0000
1.0225,0.0000,1490.7611,0.0000
1.0280,0.0000,1497.3904,0.0000
1.0335,0.0000,1503.9651,0.0000
1.0390,0.0000,1510.4869,0.0000
1.0445,0.0000,1516.9569,0.0000
1.0500,0.0000,1523.3766,0.0000
1.0555,0.0000,1529.7473,0.0000
1.0610,0.0000,1536.0702,0.0000
1.0665,0.0000,1542.3467,0.0000
1.0720,0.0000,1548.5780,0.0000
1.0775,0.0000,1554.7653,0.0000
1.0830,0.0000,1560.9097,0.0000
1.0885,0.0000,1567.0122,0.0000
1.0940,0.0000,1573.0742,0.0000
1.0995,0.0000,1579.0968,0.0000
1.1050,0.0000,1585.0809,0.0000
1.1105,0.0000,1591.0276,0.0000
1.1160,0.0000,1596.9376,0.0000
1.1215,0.0000,1602.8123,0.0000
1.1270,0.0000,1608.6525,0.0000
1.1325,0.0000,1614.4590,0.0000
1.1380,0.0000,1620.2329,0.0000
1.1435,0.0000,1625.9751,0.0000
1.1490,0.0000,1631.6862,0.0000
1.1545,0.0000,1637.3672,0.0000
1.1600,0.0000,1643.0189,0.0000
1.1655,0.0000,1648.6423,0.0000
1.1710,0.0000,1654.2379,0.0000
1.1765,0.0000,1659.8066,0.0000
1.1820,0.0000,1665.3492,0.0000
1.1875,0.0000,1670.8663,0.0000
1.1930,0.0000,1676.3586,0.0000
1.1985,0.0000,1681.8269,0.0000
1.2040,0.0000,1687.2719,0.0000
1.2095,0.0000,1692.6942,0.0000
1.2150,0.0000,1698.0945,0.0000
1.2205,0.0000,1703.4734,0.0000
1.2260,0.0000,1708.8315,0.0000
1.2315,0.0000,1714.1696,0.0000
1.2370,0.0000,1719.4879,0.0000
1.2425,0.0000,1724.7874,0.0000
1.2480,0.0000,1730.0684,0.0000
1.2535,0.0000,1735.3313,0.0000
1.2590,0.0000,1740.5771,0.0000
1.2645,0.0000,1745.8062,0.0000
1.2700,0.0000,1751.0188,0.0000
1.2755,0.0000,1756.2158,0.0000
1.2810,0.0000,1761.3975,0.0000
1.2865,0.0000,1766.5643,0.0000
1.2920,0.0000,1771.7169,0.0000
1.2975,0.0000,1776.8557,0.0000
1.3030,0.0000,1781.9811,0.0000
1.3085,0.0000,1787.0935,0.0000
1.3140,0.0000,1792.1935,0.0000
1.3195,0.0000,1797.2815,0.0000
1.3250,0.0000,1802.3577,0.0000
1.3305,0.0000,1807.4226,0.0000
1.3360,0.0000,1812.4769,0.0000
1.3415,0.0000,1817.5208,0.0000
1.3470,0.0000,1822.5544,0.0000
1.3525,0.0000,1827.5784,0.0000
1.3580,0.0000,1832.5931,0.0000
1.3635,0.0000,1837.5989,0.0000
1.3690,0.0000,1842.5962,0.0000
1.3745,0.0000,1847.5852,0.0000
1.3800,0.0000,1852.5663,0.0000
1.3855,0.0000,1857.5398,0.0000
1.3910,0.0000,1862.5061,0.0000
1.3965,0.0000,1867.4656,0.0000
1.4020,0.0000,1872.4183,0.0000
1.4075,0.0000,1877.3649,0.0000
1.4130,0.0000,1882.3054,0.0000
1.4185,0.0000,1887.2404,0.0000
1.4240,0.0000,1892.1698,0.0000
1.4295,0.0000,1897.0941,0.0000
1.4350,0.0000,1902.0137,0.0000
1.4405,0.0000,1906.9287,0.0000
1.4460,0.0000,1911.8395,0.0000
1.4515,0.0000,1916.7462,0.0000
1.4570,0.0000,1921.6492,0.0000
1.4625,0.0000,1926.5486,0.0000
1.4680,0.0000,1931.4448,0.0000
1.4735,0.0000,1936.3380,0.0000
1.4790,0.0000,1941.2285,0.0000
1.4845,0.0000,1946.1165,0.0000
1.4900,0.0000,1951.0022,0.0000
1.4955,0.0000,1955.8859,0.0000
1.5010,0.0000,1960.7676,0.0000
1.5065,0.0000,1965.6477,0.0000
1.5120,0.0000,1970.5265,0.0000
1.5175,0.0000,1975.4042,0.0000
1.5230,0.0000,1980.2808,0.0000
1.5285,0.0000,1985.1566,0.0000
1.5340,0.0000,1990.0319,0.0000
1.5395,0.0000,1994.9066,0.0000
1.5450,0.0000,1999.7815,0.0000
1.5505,0.0000,2004.6562,0.0000
1.5560,0.0000,2009.5311,0.0000
1.5615,0.0000,2014.4065,0.0000
1.5670,0.0000,2019.2823,0.0000
1.5725,0.0000,2024.1588,0.0000
1.5780,0.0000,2029.0364,0.0000
1.5835,0.0000,2033.9150,0.0000
1.5890,0.0000,2038.7947,0.0000
1.5945,0.0000,2043.6759,0.0000
1.6000,0.0000,2048.5588,0.0000
1.6055,0.0000,2053.4434,0.0000
1.6110,0.0000,2058.3298,0.0000
1.6165,0.0000,2063.2183,0.0000
1.6220,0.0000,2068.1089,0.0000
1.6275,0.0000,2073.0020,0.0000
1.6330,0.0000,2077.8975,0.0000
1.6385,0.0000,2082.7959,0.0000
1.6440,0.0000,2087.6968,0.0000
1.6495,0.0000,2092.6006,0.0000
1.6550,0.0000,2097.5078,0.0000
1.6605,0.0000,2102.4180,0.0000
1.6660,0.0000,2107.3313,0.0000
1.6715,0.0000,2112.2483,0.0000
1.6770,0.0000,2117.1689,0.0000
1.6825,0.0000,2122.0933,0.0000
1.6880,0.0000,2127.0215,0.0000
1.6935,0.0000,2131.9534,0.0000
1.6990,0.0000,2136.8896,0.0000
1.7045,0.0000,2141.8301,0.0000
1.7100,0.0000,2146.7747,0.0000
1.7155,0.0000,2151.7236,0.0000
1.7210,0.0000,2156.6775,0.0000
1.7265,0.0000,2161.6357,0.0000
1.7320,0.0000,2166.5989,0.0000
1.7375,0.0000,2171.5669,0.0000
1.7430,0.0000,2176.5400,0.0000
1.7485,0.0000,2181.5181,0.0000
1.7540,0.0000,2186.5012,0.0000
1.7595,0.0000,2191.4897,0.0000
1.7650,0.0000,2196.4839,0.0000
1.7705,0.0000,2201.4834,0.0000
1.7760,0.0000,2206.4883,0.0000
1.7815,0.0000,2211.4990,0.0000
1.7870,0.0000,2216.5156,0.0000
1.7925,0.0000,2221.5381,0.0000
1.7980,0.0000,2226.5664,0.0000
1.8035,0.0000,2231.6008,0.0000
1.8090,0.0000,2236.6414,0.0000
1.8145,0.0000,2241.6882,0.0000
1.8200,0.0000,2246.7412,0.0000
1.8255,0.0000,2251.8008,0.0000
1.8310,0.0000,2256.8667,0.0000
1.8365,0.0000,2261.9392,0.0000
1.8420,0.0000,2267.0183,0.0000
1.8475,0.0000,2272.1042,0.0000
1.8530,0.0000,2277.1970,0.0000
1.8585,0.0000,2282.2966,0.0000
1.8640,0.0000,2287.4033,0.0000
1.8695,0.0000,2292.5168,0.0000
1.8750,0.0000,2297.6375,0.0000
1.8805,0.0000,2302.7654,0.0000
1.8860,0.0000,2307.9006,0.0000
1.8915,0.0000,2313.0432,0.0000
1.8970,0.0000,2318.1929,0.0000
1.9025,0.0000,2323.3501,0.0000
1.9080,0.0000,2328.5151,0.0000
1.9135,0.0000,2333.6875,0.0000
1.9190,0.0000,2338.8677,0.0000
1.9245,0.0000,2344.0554,0.0000
1.9300,0.0000,2349.2510,0.0000
1.9355,0.0000,2354.4546,0.0000
1.9410,0.0000,2359.6660,0.0000
1.9465,0.0000,2364.8855,0.0000
1.9520,0.0000,2370.1130,0.0000
1.9575,0.0000,2375.3486,0.0000
1.9630,0.0000,2380.5923,0.0000
1.9685,0.0000,2385.8442,0.0000
1.9740,0.0000,2391.1045,0.0000
1.9795,0.0000,2396.3730,0.0000
1.9850,0.0000,2401.6501,0.0000
1.9905,0.0000,2406.9355,0.0000
1.9960,0.0000,2412.2295,0.0000
2.0015,0.0000,2417.5322,0.0000
2.0070,0.0000,2422.8435,0.0000
2.0125,0.0000,2428.1633,0.0000
2.0180,0.0000,2433.4917,0.0000
2.0235,0.0000,2438.8291,0.0000
2.0290,0.0000,2444.1750,0.0000
2.0345,0.0000,2449.5300,0.0000
2.0400,0.0000,2454.8943,0.0000
2.0455,0.0000,2460.2671,0.0000
2.0510,0.0000,2465.6489,0.0000
2.0565,0.0000,2471.0400,0.0000
2.0620,0.0000,2476.4399,0.0000
2.0675,0.0000,2481.8491,0.0000
2.0730,0.0000,2487.2676,0.0000
2.0785,0.0000,2492.6953,0.0000
2.0840,0.0000,2498.1323,0.0000
2.0895,0.0000,2503.5784,0.0000
2.0950,0.0000,2509.0342,0.0000
2.1005,0.0000,2514.4995,0.0000
2.1060,0.0000,2519.9739,0.0000
2.1115,0.0000,2525.4580,0.0000
2.1170,0.0000,2530.9514,0.0000
