# wavelength (microns), transmission, emissivity
0.5000,0.6386,0.0000
0.5055,0.6426,0.0000
0.5110,0.6458,0.0000
0.5165,0.6482,0.0000
0.5220,0.6500,0.0000
0.5275,0.6510,0.0000
0.5330,0.6519,0.0000
0.5385,0.6514,0.0000
0.5440,0.6514,0.0000
0.5495,0.6509,0.0000
0.5550,0.6501,0.0000
0.5605,0.6489,0.0000
0.5660,0.6477,0.0000
0.5715,0.6506,0.0000
0.5770,0.6490,0.0000
0.5825,0.6473,0.0000
0.5880,0.6456,0.0000
0.5935,0.6441,0.0000
0.5990,0.6422,0.0000
0.6045,0.6406,0.0000
0.6100,0.6393,0.0000
0.6155,0.6376,0.0000
0.6210,0.6362,0.0000
0.6265,0.6354,0.0000
0.6320,0.6346,0.0000
0.6375,0.6339,0.0000
0.6430,0.6334,0.0000
0.6485,0.6329,0.0000
0.6540,0.6327,0.0000
0.6595,0.6326,0.0000
0.6650,0.6328,0.0000
0.6705,0.6333,0.0000
0.6760,0.6342,0.0000
0.6815,0.6353,0.0000
0.6870,0.6364,0.0000
0.6925,0.6379,0.0000
0.6980,0.6389,0.0000
0.7035,0.6408,0.0000
0.7090,0.6428,0.0000
0.7145,0.6438,0.0000
0.7200,0.6454,0.0000
0.7255,0.6476,0.0000
0.7310,0.6492,0.0000
0.7365,0.6516,0.0000
0.7420,0.6539,0.0000
0.7475,0.6562,0.0000
0.7530,0.6582,0.0000
0.7585,0.6612,0.0000
0.7640,0.6632,0.0000
0.7695,0.6655,0.0000
0.7750,0.6682,0.0000
0.7805,0.6714,0.0000
0.7860,0.6732,0.0000
0.7915,0.6762,0.0000
0.7970,0.6790,0.0000
0.8025,0.6798,0.0000
0.8080,0.6825,0.0000
0.8135,0.6864,0.0000
0.8190,0.6876,0.0000
0.8245,0.6896,0.0000
0.8300,0.6914,0.0000
0.8355,0.6932,0.0000
0.8410,0.6953,0.0000
0.8465,0.6973,0.0000
0.8520,0.6994,0.0000
0.8575,0.7016,0.0000
0.8630,0.7040,0.0000
0.8685,0.7060,0.0000
0.8740,0.7078,0.0000
0.8795,0.7097,0.0000
0.8850,0.7111,0.0000
0.8905,0.7125,0.0000
0.8960,0.7140,0.0000
0.9015,0.7156,0.0000
0.9070,0.7172,0.0000
0.9125,0.7191,0.0000
0.9180,0.7210,0.0000
0.9235,0.7228,0.0000
0.9290,0.7245,0.0000
0.9345,0.7264,0.0000
0.9400,0.7282,0.0000
0.9455,0.7299,0.0000
0.9510,0.7317,0.0000
0.9565,0.7334,0.0000
0.9620,0.7352,0.0000
0.9675,0.7369,0.0000
0.9730,0.7385,0.0000
0.9785,0.7401,0.0000
0.9840,0.7418,0.0000
0.9895,0.7433,0.0000
0.9950,0.7449,0.0000
1.0005,0.7464,0.0000
1.0060,0.7480,0.0000
1.0115,0.7496,0.0000
1.0170,0.7512,0.0000
1.0225,0.7527,0.0000
1.0280,0.7542,0.0000
1.0335,0.7556,0.0000
1.0390,0.7571,0.0000
1.0445,0.7584,0.0000
1.0500,0.7598,0.0000
1.0555,0.7611,0.0000
1.0610,0.7623,0.0000
1.0665,0.7637,0.0000
1.0720,0.7650,0.0000
1.0775,0.7663,0.0000
1.0830,0.7676,0.0000
1.0885,0.7687,0.0000
1.0940,0.7700,0.0000
1.0995,0.7713,0.0000
1.1050,0.7727,0.0000
1.1105,0.7741,0.0000
1.1160,0.7755,0.0000
1.1215,0.7768,0.0000
1.1270,0.7781,0.0000
1.1325,0.7797,0.0000
1.1380,0.7810,0.0000
1.1435,0.7822,0.0000
1.1490,0.7836,0.0000
1.1545,0.7849,0.0000
1.1600,0.7862,0.0000
1.1655,0.7876,0.0000
1.1710,0.7889,0.0000
1.1765,0.7900,0.0000
1.1820,0.7913,0.0000
1.1875,0.7925,0.0000
1.1930,0.7938,0.0000
1.1985,0.7952,0.0000
1.2040,0.7965,0.0000
1.2095,0.7977,0.0000
1.2150,0.7988,0.0000
1.2205,0.8000,0.0000
1.2260,0.8010,0.0000
1.2315,0.8021,0.0000
1.2370,0.8033,0.0000
1.2425,0.8045,0.0000
1.2480,0.8056,0.0000
1.2535,0.8066,0.0000
1.2590,0.8078,0.0000
1.2645,0.8089,0.0000
1.2700,0.8100,0.0000
1.2755,0.8110,0.0000
1.2810,0.8120,0.0000
1.2865,0.8131,0.0000
1.2920,0.8142,0.0000
1.2975,0.8155,0.0000
1.3030,0.8163,0.0000
1.3085,0.8173,0.0000
1.3140,0.8184,0.0000
1.3195,0.8194,0.0000
1.3250,0.8202,0.0000
1.3305,0.8212,0.0000
1.3360,0.8221,0.0000
1.3415,0.8231,0.0000
1.3470,0.8239,0.0000
1.3525,0.8249,0.0000
1.3580,0.8257,0.0000
1.3635,0.8266,0.0000
1.3690,0.8276,0.0000
1.3745,0.8287,0.0000
1.3800,0.8294,0.0000
1.3855,0.8300,0.0000
1.3910,0.8305,0.0000
1.3965,0.8310,0.0000
1.4020,0.8317,0.0000
1.4075,0.8323,0.0000
1.4130,0.8328,0.0000
1.4185,0.8332,0.0000
1.4240,0.8339,0.0000
1.4295,0.8344,0.0000
1.4350,0.8351,0.0000
1.4405,0.8358,0.0000
1.4460,0.8366,0.0000
1.4515,0.8374,0.0000
1.4570,0.8381,0.0000
1.4625,0.8387,0.0000
1.4680,0.8393,0.0000
1.4735,0.8397,0.0000
1.4790,0.8402,0.0000
1.4845,0.8406,0.0000
1.4900,0.8412,0.0000
1.4955,0.8415,0.0000
1.5010,0.8419,0.0000
1.5065,0.8422,0.0000
1.5120,0.8426,0.0000
1.5175,0.8430,0.0000
1.5230,0.8436,0.0000
1.5285,0.8440,0.0000
1.5340,0.8445,0.0000
1.5395,0.8447,0.0000
1.5450,0.8451,0.0000
1.5505,0.8455,0.0000
1.5560,0.8458,0.0000
1.5615,0.8462,0.0000
1.5670,0.8466,0.0000
1.5725,0.8469,0.0000
1.5780,0.8473,0.0000
1.5835,0.8476,0.0000
1.5890,0.8480,0.0000
1.5945,0.8485,0.0000
1.6000,0.8489,0.0000
1.6055,0.8492,0.0000
1.6110,0.8497,0.0000
1.6165,0.8502,0.0000
1.6220,0.8506,0.0000
1.6275,0.8510,0.0000
1.6330,0.8515,0.0000
1.6385,0.8519,0.0000
1.6440,0.8523,0.0000
1.6495,0.8527,0.0000
1.6550,0.8531,0.0000
1.6605,0.8532,0.0000
1.6660,0.8536,0.0000
1.6715,0.8538,0.0000
1.6770,0.8543,0.0000
1.6825,0.8547,0.0000
1.6880,0.8552,0.0000
1.6935,0.8554,0.0000
1.6990,0.8560,0.0000
1.7045,0.8563,0.0000
1.7100,0.8568,0.0000
1.7155,0.8571,0.0000
1.7210,0.8574,0.0000
1.7265,0.8578,0.0000
1.7320,0.8582,0.0000
1.7375,0.8586,0.0000
1.7430,0.8590,0.0000
1.7485,0.8596,0.0000
1.7540,0.8597,0.0000
1.7595,0.8600,0.0000
1.7650,0.8602,0.0000
1.7705,0.8604,0.0000
1.7760,0.8605,0.0000
1.7815,0.8607,0.0000
1.7870,0.8609,0.0000
1.7925,0.8610,0.0000
1.7980,0.8613,0.0000
1.8035,0.8617,0.0000
1.8090,0.8620,0.0000
1.8145,0.8623,0.0000
1.8200,0.8625,0.0000
1.8255,0.8628,0.0000
1.8310,0.8631,0.0000
1.8365,0.8633,0.0000
1.8420,0.8639,0.0000
1.8475,0.8641,0.0000
1.8530,0.8644,0.0000
1.8585,0.8649,0.0000
1.8640,0.8653,0.0000
1.8695,0.8658,0.0000
1.8750,0.8664,0.0000
1.8805,0.8667,0.0000
1.8860,0.8670,0.0000
1.8915,0.8675,0.0000
1.8970,0.8680,0.0000
1.9025,0.8686,0.0000
1.9080,0.8690,0.0000
1.9135,0.8692,0.0000
1.9190,0.8695,0.0000
1.9245,0.8699,0.0000
1.9300,0.8701,0.0000
1.9355,0.8704,0.0000
1.9410,0.8709,0.0000
1.9465,0.8711,0.0000
1.9520,0.8717,0.0000
1.9575,0.8719,0.0000
1.9630,0.8723,0.0000
1.9685,0.8730,0.0000
1.9740,0.8732,0.0000
1.9795,0.8736,0.0000
1.9850,0.8740,0.0000
1.9905,0.8743,0.0000
1.9960,0.8746,0.0000
2.0015,0.8725,0.0000
2.0070,0.8726,0.0000
2.0125,0.8729,0.0000
2.0180,0.8729,0.0000
2.0235,0.8731,0.0000
2.0290,0.8730,0.0000
2.0345,0.8732,0.0000
2.0400,0.8730,0.0000
2.0455,0.8730,0.0000
2.0510,0.8729,0.0000
2.0565,0.8729,0.0000
2.0620,0.8729,0.0000
2.0675,0.8727,0.0000
2.0730,0.8729,0.0000
2.0785,0.8726,0.0000
2.0840,0.8725,0.0000
2.0895,0.8724,0.0000
2.0950,0.8726,0.0000
2.1005,0.8723,0.0000
2.1060,0.8723,0.0000
2.1115,0.8722,0.0000
2.1170,0.8722,0.0000
2.1225,0.8721,0.0000
2.1280,0.8720,0.0000
2.1335,0.8719,0.0000
2.1390,0.8719,0.0000
2.1445,0.8722,0.0000
2.1500,0.8721,0.0000
2.1555,0.8721,0.0000
2.1610,0.8721,0.0000
2.1665,0.8722,0.0000
2.1720,0.8725,0.0000
2.1775,0.8728,0.0000
2.1830,0.8731,0.0000
2.1885,0.8731,0.0000
2.1940,0.8732,0.0000
2.1995,0.8734,0.0000
2.2050,0.8738,0.0000
2.2105,0.8740,0.0000
2.2160,0.8745,0.0000
2.2215,0.8747,0.0000
2.2270,0.8749,0.0000
2.2325,0.8753,0.0000
2.2380,0.8756,0.0000
2.2435,0.8760,0.0000
2.2490,0.8764,0.0000
2.2545,0.8764,0.0000
2.2600,0.8766,0.0000
2.2655,0.8769,0.0000
2.2710,0.8770,0.0000
2.2765,0.8769,0.0000
2.2820,0.8768,0.0000
2.2875,0.8767,0.0000
2.2930,0.8766,0.0000
2.2985,0.8767,0.0000
2.3040,0.8766,0.0000
2.3095,0.8768,0.0000
2.3150,0.8767,0.0000
2.3205,0.8776,0.0000
2.3260,0.8782,0.0000
2.3315,0.8786,0.0000
2.3370,0.8792,0.0000
2.3425,0.8793,0.0000
2.3480,0.8795,0.0000
2.3535,0.8800,0.0000
2.3590,0.8803,0.0000
2.3645,0.8808,0.0000
2.3700,0.8811,0.0000
2.3755,0.8813,0.0000
2.3810,0.8817,0.0000
2.3865,0.8817,0.0000
2.3920,0.8819,0.0000
2.3975,0.8821,0.0000
2.4030,0.8822,0.0000
2.4085,0.8825,0.0000
2.4140,0.8829,0.0000
2.4195,0.8830,0.0000
2.4250,0.8829,0.0000
2.4305,0.8830,0.0000
2.4360,0.8829,0.0000
2.4415,0.8829,0.0000
2.4470,0.8830,0.0000
2.4525,0.8829,0.0000
2.4580,0.8826,0.0000
2.4635,0.8829,0.0000
2.4690,0.8832,0.0000
2.4745,0.8836,0.0000
2.4800,0.8840,0.0000
2.4855,0.8843,0.0000
2.4910,0.8844,0.0000
2.4965,0.8845,0.0000
2.5020,0.8843,0.0000
2.5075,0.8843,0.0000
2.5130,0.8843,0.0000
2.5185,0.8843,0.0000
2.5240,0.8843,0.0000
2.5295,0.8843,0.0000
2.5350,0.8843,0.0000
2.5405,0.8842,0.0000
2.5460,0.8842,0.0000
2.5515,0.8842,0.0000
2.5570,0.8841,0.0000
2.5625,0.8840,0.0000
2.5680,0.8840,0.0000
2.5735,0.8839,0.0000
2.5790,0.8838,0.0000
2.5845,0.8837,0.0000
2.5900,0.8836,0.0000
2.5955,0.8835,0.0000
2.6010,0.8834,0.0000
2.6065,0.8833,0.0000
2.6120,0.8832,0.0000
2.6175,0.8830,0.0000
2.6230,0.8827,0.0000
2.6285,0.8822,0.0000
2.6340,0.8818,0.0000
2.6395,0.8815,0.0000
2.6450,0.8812,0.0000
2.6505,0.8809,0.0000
2.6560,0.8806,0.0000
2.6615,0.8801,0.0000
2.6670,0.8796,0.0000
2.6725,0.8790,0.0000
2.6780,0.8785,0.0000
2.6835,0.8780,0.0000
2.6890,0.8774,0.0000
2.6945,0.8768,0.0000
2.7000,0.8764,0.0000
2.7055,0.8760,0.0000
2.7110,0.8756,0.0000
2.7165,0.8752,0.0000
2.7220,0.8747,0.0000
2.7275,0.8741,0.0000
2.7330,0.8735,0.0000
2.7385,0.8729,0.0000
2.7440,0.8723,0.0000
2.7495,0.8717,0.0000
2.7550,0.8712,0.0000
2.7605,0.8706,0.0000
2.7660,0.8700,0.0000
2.7715,0.8694,0.0000
2.7770,0.8688,0.0000
2.7825,0.8682,0.0000
2.7880,0.8675,0.0000
2.7935,0.8669,0.0000
2.7990,0.8663,0.0000
2.8045,0.8659,0.0000
2.8100,0.8655,0.0000
2.8155,0.8651,0.0000
2.8210,0.8647,0.0000
2.8265,0.8642,0.0000
2.8320,0.8636,0.0000
