# wavelength (microns), transmission, emissivity
0.4000,0.0000,0.0000
0.4112,0.0000,0.0000
0.4224,0.0000,0.0000
0.4336,0.0000,0.0000
0.4448,0.0000,0.0000
0.4560,0.0000,0.0000
0.4672,0.0000,0.0000
0.4784,0.0000,0.0000
0.4896,0.0000,0.0000
0.5008,0.4942,0.0000
0.5120,0.5226,0.0000
0.5232,0.5651,0.0000
0.5344,0.6210,0.0000
0.5456,0.6493,0.0000
0.5568,0.6717,0.0000
0.5680,0.6940,0.0000
0.5792,0.7208,0.0000
0.5904,0.7371,0.0000
0.6016,0.7488,0.0000
0.6128,0.7645,0.0000
0.6240,0.7769,0.0000
0.6352,0.7852,0.0000
0.6464,0.7936,0.0000
0.6576,0.8026,0.0000
0.6688,0.8117,0.0000
0.6800,0.8165,0.0000
0.6912,0.8220,0.0000
0.7024,0.8255,0.0000
0.7136,0.8282,0.0000
0.7248,0.8310,0.0000
0.7360,0.8343,0.0000
0.7472,0.8365,0.0000
0.7584,0.8383,0.0000
0.7696,0.8413,0.0000
0.7808,0.8432,0.0000
0.7920,0.8447,0.0000
0.8032,0.8466,0.0000
0.8144,0.8475,0.0000
0.8256,0.8495,0.0000
0.8368,0.8512,0.0000
0.8480,0.8526,0.0000
0.8592,0.8537,0.0000
0.8704,0.8551,0.0000
0.8816,0.8564,0.0000
0.8928,0.8597,0.0000
0.9040,0.8605,0.0000
0.9152,0.8611,0.0000
0.9264,0.8616,0.0000
0.9376,0.8623,0.0000
0.9488,0.8627,0.0000
0.9600,0.8632,0.0000
0.9712,0.8641,0.0000
0.9824,0.8649,0.0000
0.9936,0.8658,0.0000
1.0048,0.8667,0.0000
1.0160,0.8670,0.0000
1.0272,0.8673,0.0000
1.0384,0.8678,0.0000
1.0496,0.8681,0.0000
1.0608,0.8683,0.0000
1.0720,0.8690,0.0000
1.0832,0.8696,0.0000
1.0944,0.8699,0.0000
1.1056,0.8706,0.0000
1.1168,0.8713,0.0000
1.1280,0.8717,0.0000
1.1392,0.8716,0.0000
1.1504,0.8718,0.0000
1.1616,0.8724,0.0000
1.1728,0.8728,0.0000
1.1840,0.8728,0.0000
1.1952,0.8729,0.0000
1.2064,0.8731,0.0000
1.2176,0.8736,0.0000
1.2288,0.8741,0.0000
1.2400,0.8745,0.0000
1.2512,0.8747,0.0000
1.2624,0.8748,0.0000
1.2736,0.8751,0.0000
1.2848,0.8753,0.0000
1.2960,0.8755,0.0000
1.3072,0.8759,0.0000
1.3184,0.8762,0.0000
1.3296,0.8763,0.0000
1.3408,0.8765,0.0000
1.3520,0.8766,0.0000
1.3632,0.8765,0.0000
1.3744,0.8765,0.0000
1.3856,0.8767,0.0000
1.3968,0.8769,0.0000
1.4080,0.8770,0.0000
1.4192,0.8772,0.0000
1.4304,0.8774,0.0000
1.4416,0.8774,0.0000
1.4528,0.8775,0.0000
1.4640,0.8776,0.0000
1.4752,0.8778,0.0000
1.4864,0.8779,0.0000
1.4976,0.8780,0.0000
1.5088,0.8781,0.0000
1.5200,0.8782,0.0000
1.5312,0.8781,0.0000
1.5424,0.8781,0.0000
1.5536,0.8781,0.0000
1.5648,0.8782,0.0000
1.5760,0.8782,0.0000
1.5872,0.8785,0.0000
1.5984,0.8787,0.0000
1.6096,0.8789,0.0000
1.6208,0.8790,0.0000
1.6320,0.8792,0.0000
1.6432,0.8793,0.0000
1.6544,0.8795,0.0000
1.6656,0.8796,0.0000
1.6768,0.8798,0.0000
1.6880,0.8799,0.0000
1.6992,0.8800,0.0000
1.7104,0.8802,0.0000
1.7216,0.8803,0.0000
1.7328,0.8805,0.0000
1.7440,0.8803,0.0000
