# wavelength (microns), transmission, emissivity
0.6000,0.4494,0.0
0.6094,0.4553,0.0
0.6188,0.4602,0.0
0.6283,0.4644,0.0
0.6377,0.4676,0.0
0.6471,0.4712,0.0
0.6565,0.4754,0.0
0.6659,0.4802,0.0
0.6754,0.4842,0.0
0.6848,0.4882,0.0
0.6942,0.4924,0.0
0.7036,0.4961,0.0
0.7130,0.4996,0.0
0.7224,0.5033,0.0
0.7319,0.5074,0.0
0.7413,0.5119,0.0
0.7507,0.5159,0.0
0.7601,0.5205,0.0
0.7695,0.5250,0.0
0.7790,0.5300,0.0
0.7884,0.5340,0.0
0.7978,0.5385,0.0
0.8072,0.5418,0.0
0.8166,0.5464,0.0
0.8261,0.5499,0.0
0.8355,0.5533,0.0
0.8449,0.5569,0.0
0.8543,0.5604,0.0
0.8637,0.5643,0.0
0.8731,0.5677,0.0
0.8826,0.5709,0.0
0.8920,0.5747,0.0
0.9014,0.5774,0.0
0.9108,0.5803,0.0
0.9202,0.5831,0.0
0.9297,0.5859,0.0
0.9391,0.5888,0.0
0.9485,0.5915,0.0
0.9579,0.5942,0.0
0.9673,0.5971,0.0
0.9768,0.5998,0.0
0.9862,0.6026,0.0
0.9956,0.6053,0.0
1.0050,0.6080,0.0
1.0144,0.6104,0.0
1.0238,0.6127,0.0
1.0333,0.6150,0.0
1.0427,0.6172,0.0
1.0521,0.6193,0.0
1.0615,0.6212,0.0
1.0709,0.6235,0.0
1.0804,0.6257,0.0
1.0898,0.6276,0.0
1.0992,0.6297,0.0
1.1086,0.6321,0.0
1.1180,0.6345,0.0
1.1275,0.6365,0.0
1.1369,0.6385,0.0
1.1463,0.6404,0.0
1.1557,0.6425,0.0
1.1651,0.6448,0.0
1.1745,0.6467,0.0
1.1840,0.6484,0.0
1.1934,0.6503,0.0
1.2028,0.6524,0.0
1.2122,0.6543,0.0
1.2216,0.6562,0.0
1.2311,0.6580,0.0
1.2405,0.6599,0.0
1.2499,0.6615,0.0
1.2593,0.6633,0.0
1.2687,0.6649,0.0
1.2782,0.6665,0.0
1.2876,0.6682,0.0
1.2970,0.6700,0.0
1.3064,0.6715,0.0
1.3158,0.6733,0.0
1.3253,0.6746,0.0
1.3347,0.6760,0.0
1.3441,0.6775,0.0
1.3535,0.6789,0.0
1.3629,0.6800,0.0
1.3723,0.6814,0.0
1.3818,0.6827,0.0
1.3912,0.6836,0.0
1.4006,0.6845,0.0
1.4100,0.6854,0.0
1.4194,0.6861,0.0
1.4289,0.6871,0.0
1.4383,0.6881,0.0
